df_name,segment_index,start_location,end_location
1109,0,START,Pickaxe
1109,1,Pickaxe,Pickaxe
1109,2,Pickaxe,Bone
1109,3,Bone,Egg
1109,4,Egg,Arrow
1109,5,Arrow,Book
1109,6,Book,Brick
1109,7,Brick,Bread
1109,8,Bread,Apple
1109,9,Apple,Bowl
1109,10,Bowl,Diamond
1109,11,Diamond,Pickaxe
1109,12,Pickaxe,Egg
1109,13,Egg,Cake
1109,14,Cake,Stick
1117,0,START,Pickaxe
1117,1,Pickaxe,Bone
1117,2,Bone,Egg
1117,3,Egg,Diamond
1117,4,Diamond,Bowl
1117,5,Bowl,Cake
1117,6,Cake,Diamond
1117,7,Diamond,Egg
1117,8,Egg,Diamond
1117,9,Diamond,Pickaxe
1117,10,Pickaxe,Stick
1117,11,Stick,Book
1117,12,Book,Brick
1117,13,Brick,Bread
1117,14,Bread,Apple
1117,15,Apple,Cake
1117,16,Cake,Diamond
1117,17,Diamond,Arrow
2006,0,START,Pickaxe
2006,1,Pickaxe,Arrow
2006,2,Arrow,Book
2006,3,Book,Brick
2006,4,Brick,Stick
2006,5,Stick,Bone
2006,6,Bone,Egg
2006,7,Egg,Diamond
2006,8,Diamond,Bowl
2006,9,Bowl,Cake
2006,10,Cake,Apple
2006,11,Apple,Bread
2021,0,START,Pickaxe
2021,1,Pickaxe,Egg
2021,2,Egg,Bone
2021,3,Bone,Bowl
2021,4,Bowl,Bowl
2021,5,Bowl,Cake
2021,6,Cake,Bread
2021,7,Bread,Pickaxe
2021,8,Pickaxe,Bone
2021,9,Bone,Bone
2021,10,Bone,Egg
2021,11,Egg,Cake
2021,12,Cake,Bread
2021,13,Bread,Brick
2024,0,START,Pickaxe
2024,1,Pickaxe,Bone
2024,2,Bone,Egg
2024,3,Egg,Diamond
2024,4,Diamond,Bowl
2024,5,Bowl,Cake
2024,6,Cake,Apple
2024,7,Apple,Bread
2024,8,Bread,Brick
2024,9,Brick,Brick
2024,10,Brick,Book
2024,11,Book,Stick
2024,12,Stick,Arrow
2043,0,START,Pickaxe
2043,1,Pickaxe,Egg
2043,2,Egg,Bone
2043,3,Bone,Diamond
2043,4,Diamond,Bowl
2043,5,Bowl,Cake
2043,6,Cake,Apple
2043,7,Apple,Bread
2043,8,Bread,Brick
2043,9,Brick,Book
2043,10,Book,Arrow
2043,11,Arrow,Pickaxe
2043,12,Pickaxe,Arrow
2043,13,Arrow,Egg
2043,14,Egg,Cake
2043,15,Cake,Bread
2043,16,Bread,Book
2043,17,Book,Arrow
2043,18,Arrow,Arrow
2046,0,START,Pickaxe
2046,1,Pickaxe,Stick
2046,2,Stick,Bone
2046,3,Bone,Egg
2046,4,Egg,Diamond
2046,5,Diamond,Cake
2046,6,Cake,Bowl
2046,7,Bowl,Apple
2046,8,Apple,Bread
2046,9,Bread,Brick
2046,10,Brick,Book
2046,11,Book,Arrow
2049,0,START,Pickaxe
2049,1,Pickaxe,Stick
2049,2,Stick,Arrow
2049,3,Arrow,Bone
2049,4,Bone,Egg
2049,5,Egg,Diamond
2049,6,Diamond,Bowl
2049,7,Bowl,Cake
2049,8,Cake,Apple
2049,9,Apple,Bread
2049,10,Bread,Brick
2049,11,Brick,Book
2055,0,START,Pickaxe
2055,1,Pickaxe,Bone
2055,2,Bone,Egg
2055,3,Egg,Diamond
2055,4,Diamond,Bowl
2055,5,Bowl,Cake
2055,6,Cake,Bread
2055,7,Bread,Brick
2055,8,Brick,Book
2055,9,Book,Stick
2055,10,Stick,Arrow
2055,11,Arrow,Pickaxe
2055,12,Pickaxe,Bone
2055,13,Bone,Egg
2055,14,Egg,Diamond
2081,0,START,Stick
2081,1,Stick,Arrow
2081,2,Arrow,Book
2081,3,Book,Brick
2081,4,Brick,Bread
2081,5,Bread,Apple
2081,6,Apple,Cake
2081,7,Cake,Bowl
2081,8,Bowl,Diamond
2081,9,Diamond,Egg
2081,10,Egg,Bone
2081,11,Bone,Pickaxe
2084,0,START,Pickaxe
2084,1,Pickaxe,Bone
2084,2,Bone,Book
2084,3,Book,Brick
2084,4,Brick,Bread
2084,5,Bread,Cake
2084,6,Cake,Bowl
2084,7,Bowl,Bone
2084,8,Bone,Arrow
2084,9,Arrow,Arrow
2085,0,START,Pickaxe
2085,1,Pickaxe,Stick
2085,2,Stick,Book
2085,3,Book,Brick
2085,4,Brick,Bread
2085,5,Bread,Apple
2085,6,Apple,Bowl
2085,7,Bowl,Cake
2085,8,Cake,Diamond
2085,9,Diamond,Arrow
2085,10,Arrow,Book
2085,11,Book,Bowl
2085,12,Bowl,Diamond
2085,13,Diamond,Cake
2117,0,START,Pickaxe
2117,1,Pickaxe,Arrow
2117,2,Arrow,Bone
2117,3,Bone,Egg
2117,4,Egg,Diamond
2117,5,Diamond,Bowl
2117,6,Bowl,Cake
2117,7,Cake,Apple
2117,8,Apple,Book
2117,9,Book,Stick
2117,10,Stick,Bread
2117,11,Bread,Brick
2118,0,START,Pickaxe
2118,1,Pickaxe,Bone
2118,2,Bone,Egg
2118,3,Egg,Diamond
2118,4,Diamond,Bowl
2118,5,Bowl,Cake
2118,6,Cake,Apple
2118,7,Apple,Brick
2118,8,Brick,Book
