df_name,segment_index,training,cluster
1109,0,2,1
1109,0,1,1
1109,1,2,1
1109,1,1,1
1109,10,2,1
1109,10,1,1
1109,11,2,0
1109,11,1,2
1109,12,2,0
1109,14,2,3
1109,2,2,1
1109,2,1,0
1109,3,2,1
1109,3,1,1
1109,4,2,1
1109,4,1,1
1109,5,2,1
1109,5,1,1
1109,6,2,1
1109,6,1,1
1109,7,2,1
1109,7,1,1
1109,8,2,1
1109,8,1,1
1109,9,2,1
1109,9,1,1
1117,0,2,1
1117,0,1,1
1117,1,2,1
1117,1,1,1
1117,10,2,1
1117,10,1,0
1117,11,2,1
1117,11,1,1
1117,12,2,1
1117,12,1,1
1117,13,2,1
1117,13,1,1
1117,14,2,3
1117,14,1,0
1117,15,2,1
1117,16,2,1
1117,2,2,1
1117,2,1,1
1117,3,2,1
1117,3,1,1
1117,4,2,1
1117,4,1,1
1117,5,2,1
1117,5,1,1
1117,6,1,1
1117,7,2,0
1117,7,1,0
1117,8,1,1
1117,9,2,1
1117,9,1,1
2006,0,2,1
2006,0,1,1
2006,1,2,1
2006,1,1,0
2006,10,2,3
2006,11,2,1
2006,2,2,1
2006,2,1,1
2006,3,2,1
2006,3,1,3
2006,4,2,1
2006,5,2,1
2006,6,2,1
2006,7,2,1
2006,8,2,1
2006,9,2,1
2021,0,2,1
2021,0,1,1
2021,1,2,1
2021,1,1,1
2021,10,2,1
2021,11,2,1
2021,12,2,1
2021,13,2,1
2021,2,2,1
2021,2,1,1
2021,3,2,1
2021,3,1,1
2021,4,2,1
2021,4,1,1
2021,5,2,1
2021,5,1,1
2021,6,2,1
2021,6,1,1
2021,7,2,1
2021,7,1,1
2021,8,2,1
2021,8,1,1
2021,9,2,3
2024,0,2,1
2024,0,1,1
2024,1,2,1
2024,1,1,1
2024,10,2,1
2024,10,1,1
2024,11,2,1
2024,11,1,1
2024,12,2,1
2024,12,1,1
2024,2,2,1
2024,2,1,1
2024,3,2,1
2024,3,1,1
2024,4,2,1
2024,4,1,1
2024,5,2,1
2024,5,1,1
2024,6,2,0
2024,7,2,1
2024,7,1,1
2024,8,2,1
2024,8,1,0
2024,9,2,1
2024,9,1,1
2043,0,2,1
2043,0,1,1
2043,1,2,1
2043,1,1,1
2043,10,2,1
2043,10,1,1
2043,11,2,3
2043,11,1,1
2043,12,2,1
2043,12,1,3
2043,13,1,1
2043,14,1,1
2043,15,2,1
2043,15,1,1
2043,16,2,1
2043,16,1,1
2043,17,2,1
2043,17,1,1
2043,18,2,0
2043,2,2,1
2043,2,1,3
2043,3,2,0
2043,3,1,1
2043,4,2,1
2043,4,1,1
2043,5,2,1
2043,5,1,0
2043,6,2,1
2043,7,2,1
2043,7,1,1
2043,8,2,1
2043,8,1,3
2043,9,2,1
2043,9,1,1
2046,0,2,1
2046,0,1,1
2046,1,2,0
2046,1,1,1
2046,10,2,1
2046,10,1,1
2046,11,2,1
2046,12,1,3
2046,13,1,1
2046,14,1,0
2046,2,2,0
2046,3,1,3
2046,4,2,1
2046,4,1,1
2046,5,2,1
2046,5,1,1
2046,6,2,1
2046,6,1,1
2046,7,2,1
2046,7,1,1
2046,8,2,1
2046,8,1,1
2046,9,2,1
2046,9,1,1
2049,0,2,0
2049,0,1,1
2049,1,2,1
2049,1,1,1
2049,10,2,1
2049,10,1,1
2049,11,2,1
2049,11,1,3
2049,12,1,1
2049,13,1,1
2049,14,1,3
2049,18,1,1
2049,2,2,1
2049,2,1,1
2049,3,2,1
2049,3,1,1
2049,4,2,1
2049,4,1,1
2049,5,2,1
2049,5,1,2
2049,6,2,1
2049,6,1,1
2049,7,2,1
2049,7,1,0
2049,8,2,1
2049,8,1,1
2049,9,2,1
2055,0,2,1
2055,0,1,1
2055,1,2,1
2055,1,1,1
2055,10,2,1
2055,10,1,1
2055,11,2,1
2055,11,1,1
2055,12,2,1
2055,12,1,1
2055,2,2,1
2055,2,1,1
2055,3,2,1
2055,3,1,1
2055,4,2,1
2055,4,1,1
2055,5,2,1
2055,5,1,1
2055,6,1,1
2055,7,2,1
2055,7,1,1
2055,8,2,1
2055,8,1,1
2055,9,2,0
2081,0,2,1
2081,0,1,1
2081,1,2,1
2081,1,1,1
2081,10,2,1
2081,10,1,1
2081,11,2,1
2081,11,1,1
2081,12,1,0
2081,13,1,3
2081,14,1,1
2081,15,1,1
2081,16,1,0
2081,17,1,1
2081,18,1,1
2081,2,2,0
2081,2,1,1
2081,3,2,1
2081,3,1,1
2081,4,2,1
2081,4,1,1
2081,5,2,1
2081,5,1,1
2081,6,2,1
2081,6,1,1
2081,7,2,1
2081,7,1,1
2081,8,2,1
2081,8,1,1
2081,9,2,1
2081,9,1,1
2084,0,2,1
2084,0,1,1
2084,1,2,1
2084,1,1,1
2084,2,2,0
2084,2,1,1
2084,3,2,1
2084,3,1,1
2084,4,2,1
2084,4,1,1
2084,5,2,1
2084,5,1,3
2084,6,2,1
2084,6,1,1
2084,7,2,1
2084,7,1,1
2084,8,2,1
2084,8,1,1
2085,0,2,1
2085,0,1,1
2085,1,2,1
2085,1,1,1
2085,10,2,1
2085,10,1,3
2085,11,2,1
2085,11,1,1
2085,12,2,1
2085,13,2,1
2085,2,2,1
2085,2,1,1
2085,3,2,1
2085,3,1,1
2085,4,2,1
2085,4,1,1
2085,5,2,1
2085,5,1,1
2085,6,2,1
2085,6,1,1
2085,7,2,1
2085,7,1,1
2085,8,2,1
2085,8,1,1
2085,9,2,2
2085,9,1,1
2117,0,2,1
2117,0,1,1
2117,1,2,1
2117,1,1,1
2117,10,2,3
2117,10,1,1
2117,11,2,1
2117,11,1,1
2117,12,1,3
2117,13,1,1
2117,14,1,1
2117,2,2,1
2117,2,1,0
2117,3,2,1
2117,3,1,1
2117,4,2,3
2117,5,2,1
2117,5,1,1
2117,6,2,1
2117,6,1,1
2117,7,2,1
2117,7,1,0
2117,8,2,0
2117,8,1,1
2117,9,2,1
2117,9,1,1
2118,0,2,1
2118,0,1,1
2118,1,2,1
2118,1,1,1
2118,10,2,1
2118,10,1,1
2118,11,2,1
2118,11,1,1
2118,12,1,3
2118,13,1,1
2118,14,1,1
2118,2,2,1
2118,2,1,1
2118,3,2,1
2118,3,1,1
2118,4,2,1
2118,4,1,1
2118,5,2,3
2118,5,1,1
2118,6,2,1
2118,6,1,1
2118,7,2,1
2118,7,1,1
2118,8,2,1
2118,8,1,1
2118,9,2,1
2118,9,1,1
2243,0,2,1
2243,0,1,0
2243,1,2,1
2243,1,1,1
2243,10,2,1
2243,10,1,1
2243,11,2,1
2243,11,1,2
2243,12,1,1
2243,13,1,1
2243,2,2,1
2243,2,1,3
2243,3,2,1
2243,3,1,0
2243,4,2,1
2243,4,1,0
2243,5,2,1
2243,5,1,1
2243,6,2,1
2243,6,1,0
2243,7,2,1
2243,7,1,0
2243,8,2,1
2243,9,2,0
2243,9,1,0
2304,0,2,1
2304,0,1,1
2304,1,2,1
2304,1,1,1
2304,10,2,1
2304,11,2,1
2304,12,1,1
2304,14,1,1
2304,15,1,0
2304,16,1,1
2304,17,1,1
2304,19,1,2
2304,2,2,1
2304,2,1,3
2304,3,2,1
2304,3,1,1
2304,4,2,1
2304,4,1,1
2304,5,2,1
2304,5,1,1
2304,6,2,1
2304,6,1,1
2304,7,2,1
2304,7,1,1
2304,8,2,1
2304,8,1,1
2304,9,2,1
2304,9,1,1
2308,0,2,1
2308,0,1,1
2308,1,2,1
2308,1,1,1
2308,10,2,1
2308,10,1,1
2308,11,2,1
2308,11,1,1
2308,13,2,1
2308,13,1,1
2308,14,2,1
2308,2,2,1
2308,2,1,1
2308,3,2,1
2308,3,1,1
2308,4,2,1
2308,4,1,1
2308,5,2,1
2308,5,1,1
2308,6,2,1
2308,6,1,1
2308,7,2,1
2308,7,1,1
2308,8,2,1
2308,8,1,3
2308,9,2,1
2308,9,1,1
2318,0,2,1
2318,0,1,1
2318,1,2,1
2318,1,1,1
2318,10,2,3
2318,10,1,1
2318,11,1,0
2318,12,1,0
2318,13,1,0
2318,2,2,1
2318,2,1,3
2318,3,2,1
2318,3,1,1
2318,4,2,1
2318,4,1,1
2318,5,2,1
2318,5,1,3
2318,6,2,1
2318,6,1,3
2318,7,2,1
2318,7,1,3
2318,8,2,1
2318,8,1,1
2318,9,2,1
2318,9,1,1
2320,0,2,1
2320,0,1,1
2320,1,2,1
2320,1,1,1
2320,10,2,1
2320,10,1,1
2320,11,2,1
2320,12,1,1
2320,13,2,1
2320,14,2,1
2320,2,2,1
2320,2,1,1
2320,3,2,1
2320,3,1,1
2320,4,2,1
2320,4,1,1
2320,5,2,1
2320,5,1,1
2320,6,2,1
2320,6,1,1
2320,7,2,1
2320,7,1,1
2320,8,2,1
2320,8,1,1
2320,9,2,1
2320,9,1,1
2325,0,2,1
2325,0,1,1
2325,1,2,1
2325,1,1,1
2325,10,1,1
2325,11,2,1
2325,11,1,1
2325,12,2,1
2325,12,1,1
2325,13,2,1
2325,13,1,1
2325,14,2,1
2325,14,1,1
2325,15,2,1
2325,16,2,1
2325,16,1,1
2325,17,2,2
2325,18,2,0
2325,19,2,1
2325,2,2,1
2325,2,1,1
2325,20,2,1
2325,21,2,1
2325,22,2,0
2325,3,2,1
2325,3,1,1
2325,4,2,1
2325,5,2,1
2325,5,1,3
2325,6,2,1
2325,6,1,1
2325,7,2,1
2325,7,1,1
2325,8,2,1
2325,8,1,1
2325,9,2,1
2325,9,1,1
3002,0,2,1
3002,0,1,1
3002,1,2,1
3002,1,1,1
3002,10,2,1
3002,10,1,1
3002,11,2,1
3002,11,1,1
3002,12,2,3
3002,12,1,1
3002,13,2,1
3002,14,1,1
3002,15,1,1
3002,2,2,0
3002,2,1,1
3002,3,2,1
3002,3,1,3
3002,4,2,1
3002,4,1,1
3002,5,2,1
3002,5,1,1
3002,6,2,0
3002,7,2,1
3002,7,1,1
3002,8,2,1
3002,8,1,1
3002,9,2,1
3002,9,1,1
3005,0,2,1
3005,0,1,1
3005,1,2,1
3005,1,1,1
3005,10,2,1
3005,10,1,3
3005,11,2,1
3005,11,1,1
3005,12,2,1
3005,13,2,1
3005,13,1,1
3005,14,2,3
3005,14,1,1
3005,15,2,1
3005,16,2,1
3005,17,2,1
3005,18,2,1
3005,2,2,1
3005,2,1,1
3005,3,2,1
3005,3,1,1
3005,4,2,1
3005,4,1,1
3005,5,2,1
3005,5,1,3
3005,6,1,1
3005,7,2,0
3005,7,1,1
3005,8,2,1
3005,8,1,1
3005,9,2,1
3005,9,1,1
3007,0,2,1
3007,0,1,1
3007,1,2,1
3007,1,1,1
3007,10,2,1
3007,11,2,1
3007,11,1,1
3007,12,1,0
3007,13,1,0
3007,2,2,1
3007,2,1,0
3007,3,2,1
3007,3,1,1
3007,4,2,1
3007,5,2,1
3007,6,1,1
3007,7,2,3
3007,7,1,0
3007,8,2,1
3007,8,1,1
3007,9,2,1
3007,9,1,1
3008,0,2,1
3008,0,1,1
3008,1,2,1
3008,1,1,1
3008,10,2,1
3008,10,1,1
3008,11,1,1
3008,12,1,1
3008,13,2,1
3008,14,2,1
3008,14,1,1
3008,15,2,1
3008,15,1,0
3008,16,2,1
3008,17,2,1
3008,2,2,1
