df_name,segment_index,start_location,end_location
1118,0,START,FlowerPot
1118,1,FlowerPot,Torch
1118,2,Torch,Sword
1118,3,Sword,FlowerPot
1118,4,FlowerPot,Cookie
1118,5,Cookie,Feather
1118,6,Feather,Anvil
1118,7,Anvil,Gold
1118,8,Gold,Mushroom
1118,9,Mushroom,Potato
1118,10,Potato,Window
1118,11,Window,Sword
1118,12,Sword,Cookie
1118,13,Cookie,Window
1118,14,Window,Bottle
1118,15,Bottle,SpiderWeb
2017,0,START,FlowerPot
2017,1,FlowerPot,Cookie
2017,2,Cookie,Cookie
2017,3,Cookie,Feather
2017,4,Feather,FlowerPot
2017,5,FlowerPot,SpiderWeb
2017,6,SpiderWeb,Bottle
2017,7,Bottle,Sword
2017,8,Sword,FlowerPot
2017,9,FlowerPot,Feather
2017,10,Feather,Mushroom
2017,11,Mushroom,Gold
2017,12,Gold,Bottle
2017,13,Bottle,SpiderWeb
2017,14,SpiderWeb,Sword
2017,15,Sword,FlowerPot
2017,16,FlowerPot,Feather
2017,17,Feather,FlowerPot
2017,18,FlowerPot,Torch
2020,0,START,FlowerPot
2020,1,FlowerPot,SpiderWeb
2020,2,SpiderWeb,Bottle
2020,3,Bottle,Gold
2020,4,Gold,Mushroom
2020,5,Mushroom,Potato
2020,6,Potato,Anvil
2020,7,Anvil,Gold
2020,8,Gold,SpiderWeb
2020,9,SpiderWeb,Sword
2020,10,Sword,Torch
2020,11,Torch,Sword
2020,12,Sword,Torch
2020,13,Torch,FlowerPot
2020,14,FlowerPot,Cookie
2020,15,Cookie,Feather
2020,16,Feather,Window
2022,0,START,Anvil
2022,1,Anvil,Gold
2022,2,Gold,Sword
2022,3,Sword,Torch
2022,4,Torch,Cookie
2022,5,Cookie,FlowerPot
2022,6,FlowerPot,Feather
2022,7,Feather,Mushroom
2022,8,Mushroom,Potato
2022,9,Potato,Anvil
2022,10,Anvil,Gold
2022,11,Gold,Sword
2022,12,Sword,FlowerPot
2022,13,FlowerPot,Torch
2022,14,Torch,SpiderWeb
2022,15,SpiderWeb,Bottle
2027,0,START,FlowerPot
2027,1,FlowerPot,Feather
2027,2,Feather,Cookie
2027,3,Cookie,SpiderWeb
2027,4,SpiderWeb,Bottle
2027,5,Bottle,Bottle
2027,6,Bottle,SpiderWeb
2027,7,SpiderWeb,Sword
2027,8,Sword,Window
2027,9,Window,Potato
2027,10,Potato,Anvil
2027,11,Anvil,Gold
2027,12,Gold,Mushroom
2027,13,Mushroom,Window
