df_name,segment_index,start_location,end_location,training
1118,0,START,FlowerPot,1
1118,1,FlowerPot,Torch,1
1118,2,Torch,Sword,1
1118,3,Sword,FlowerPot,1
1118,4,FlowerPot,Cookie,1
1118,5,Cookie,Feather,1
1118,6,Feather,Anvil,1
1118,7,Anvil,Gold,1
1118,8,Gold,Mushroom,1
1118,9,Mushroom,Potato,1
1118,10,Potato,Window,1
1118,11,Window,Sword,1
1118,12,Sword,Cookie,1
1118,13,Cookie,Window,1
1118,14,Window,Bottle,1
1118,15,Bottle,SpiderWeb,1
2017,0,START,FlowerPot,1
2017,1,FlowerPot,Cookie,1
2017,2,Cookie,Cookie,1
2017,3,Cookie,Feather,1
2017,4,Feather,FlowerPot,1
2017,5,FlowerPot,SpiderWeb,1
2017,6,SpiderWeb,Bottle,1
2017,7,Bottle,Sword,1
2017,8,Sword,FlowerPot,1
2017,9,FlowerPot,Feather,1
2017,10,Feather,Mushroom,1
2017,11,Mushroom,Gold,1
2017,12,Gold,Bottle,1
2017,13,Bottle,SpiderWeb,1
2017,14,SpiderWeb,Sword,1
2017,15,Sword,FlowerPot,1
2017,16,FlowerPot,Feather,1
2017,17,Feather,FlowerPot,1
2017,18,FlowerPot,Torch,1
2020,0,START,FlowerPot,1
2020,1,FlowerPot,SpiderWeb,1
2020,2,SpiderWeb,Bottle,1
2020,3,Bottle,Gold,1
2020,4,Gold,Mushroom,1
2020,5,Mushroom,Potato,1
2020,6,Potato,Anvil,1
2020,7,Anvil,Gold,1
2020,8,Gold,SpiderWeb,1
2020,9,SpiderWeb,Sword,1
2020,10,Sword,Torch,1
2020,11,Torch,Sword,1
2020,12,Sword,Torch,1
2020,13,Torch,FlowerPot,1
2020,14,FlowerPot,Cookie,1
2020,15,Cookie,Feather,1
2020,16,Feather,Window,1
2022,0,START,Anvil,1
2022,1,Anvil,Gold,1
2022,2,Gold,Sword,1
2022,3,Sword,Torch,1
2022,4,Torch,Cookie,1
2022,5,Cookie,FlowerPot,1
2022,6,FlowerPot,Feather,1
2022,7,Feather,Mushroom,1
2022,8,Mushroom,Potato,1
2022,9,Potato,Anvil,1
2022,10,Anvil,Gold,1
2022,11,Gold,Sword,1
2022,12,Sword,FlowerPot,1
2022,13,FlowerPot,Torch,1
2022,14,Torch,SpiderWeb,1
2022,15,SpiderWeb,Bottle,1
2027,0,START,FlowerPot,1
2027,1,FlowerPot,Feather,1
2027,2,Feather,Cookie,1
2027,3,Cookie,SpiderWeb,1
2027,4,SpiderWeb,Bottle,1
2027,5,Bottle,Bottle,1
2027,6,Bottle,SpiderWeb,1
2027,7,SpiderWeb,Sword,1
2027,8,Sword,Window,1
2027,9,Window,Potato,1
2027,10,Potato,Anvil,1
2027,11,Anvil,Gold,1
2027,12,Gold,Mushroom,1
2027,13,Mushroom,Window,1
2027,14,Window,Cookie,1
2027,15,Cookie,Torch,1
2032,0,START,FlowerPot,1
2032,1,FlowerPot,SpiderWeb,1
2032,2,SpiderWeb,Bottle,1
2032,3,Bottle,Gold,1
2032,4,Gold,Anvil,1
2032,5,Anvil,Mushroom,1
2032,6,Mushroom,Potato,1
2032,7,Potato,Window,1
2032,8,Window,Feather,1
2032,9,Feather,Cookie,1
2032,10,Cookie,FlowerPot,1
2032,11,FlowerPot,Torch,1
2032,12,Torch,FlowerPot,1
2032,13,FlowerPot,Sword,1
2041,0,START,FlowerPot,1
2041,1,FlowerPot,Cookie,1
2041,2,Cookie,Feather,1
2041,3,Feather,SpiderWeb,1
2041,4,SpiderWeb,Sword,1
2041,5,Sword,Sword,1
2041,6,Sword,Torch,1
2041,7,Torch,SpiderWeb,1
2041,8,SpiderWeb,Bottle,1
2041,9,Bottle,Anvil,1
2041,10,Anvil,Potato,1
2041,11,Potato,Window,1
2041,12,Window,Feather,1
2041,13,Feather,Mushroom,1
2041,14,Mushroom,Anvil,1
2041,15,Anvil,Gold,1
2053,0,START,FlowerPot,1
2053,1,FlowerPot,SpiderWeb,1
2053,2,SpiderWeb,FlowerPot,1
2053,3,FlowerPot,Feather,1
2053,4,Feather,Mushroom,1
2053,5,Mushroom,Gold,1
2053,6,Gold,Bottle,1
2053,7,Bottle,SpiderWeb,1
2053,8,SpiderWeb,Bottle,1
2053,9,Bottle,FlowerPot,1
2059,0,START,Anvil,1
2059,1,Anvil,Gold,1
2059,2,Gold,Bottle,1
2059,3,Bottle,SpiderWeb,1
2059,4,SpiderWeb,SpiderWeb,1
2059,5,SpiderWeb,Sword,1
2059,6,Sword,Torch,1
2059,7,Torch,Cookie,1
2059,8,Cookie,Feather,1
2059,9,Feather,Window,1
2059,10,Window,Window,1
2059,11,Window,Mushroom,1
2059,12,Mushroom,Gold,1
2059,13,Gold,Bottle,1
2059,14,Bottle,SpiderWeb,1
2059,15,SpiderWeb,Sword,1
2059,16,Sword,FlowerPot,1
2059,17,FlowerPot,Cookie,1
2059,18,Cookie,Feather,1
2059,19,Feather,Mushroom,1
2059,20,Mushroom,Potato,1
2066,0,START,Anvil,1
2066,1,Anvil,Gold,1
2066,2,Gold,Sword,1
2066,3,Sword,Torch,1
2066,4,Torch,FlowerPot,1
2066,5,FlowerPot,Feather,1
2066,6,Feather,Window,1
2066,7,Window,Potato,1
2066,8,Potato,Mushroom,1
2066,9,Mushroom,Gold,1
2066,10,Gold,Bottle,1
2066,11,Bottle,SpiderWeb,1
2066,12,SpiderWeb,Torch,1
2066,13,Torch,Cookie,1
2070,0,START,FlowerPot,1
2070,1,FlowerPot,Sword,1
2070,2,Sword,Sword,1
2070,3,Sword,FlowerPot,1
2070,4,FlowerPot,Torch,1
2070,5,Torch,Cookie,1
2070,6,Cookie,Feather,1
2070,7,Feather,Window,1
2070,8,Window,Potato,1
2070,9,Potato,Potato,1
2070,10,Potato,Mushroom,1
2070,11,Mushroom,Anvil,1
2070,12,Anvil,Gold,1
2070,13,Gold,Bottle,1
2070,14,Bottle,SpiderWeb,1
2070,15,SpiderWeb,SpiderWeb,1
2071,0,START,Anvil,1
2071,1,Anvil,Gold,1
2071,2,Gold,Bottle,1
2071,3,Bottle,SpiderWeb,1
2071,4,SpiderWeb,Sword,1
2071,5,Sword,Torch,1
2071,6,Torch,Sword,1
2071,7,Sword,FlowerPot,1
2071,8,FlowerPot,Cookie,1
2071,9,Cookie,Feather,1
2071,10,Feather,FlowerPot,1
2071,11,FlowerPot,SpiderWeb,1
2071,12,SpiderWeb,Feather,1
2071,13,Feather,Window,1
2071,14,Window,Potato,1
2071,15,Potato,Anvil,1
2071,16,Anvil,Mushroom,1
2073,0,START,Anvil,1
2073,1,Anvil,Gold,1
2073,2,Gold,Bottle,1
2073,3,Bottle,SpiderWeb,1
2073,4,SpiderWeb,Sword,1
2073,5,Sword,Torch,1
2073,6,Torch,FlowerPot,1
2073,7,FlowerPot,Cookie,1
2073,8,Cookie,Feather,1
2073,9,Feather,Window,1
2073,10,Window,Potato,1
2073,11,Potato,Mushroom,1
2080,0,START,Anvil,1
2080,1,Anvil,Gold,1
2080,2,Gold,Bottle,1
2080,3,Bottle,SpiderWeb,1
2080,4,SpiderWeb,Sword,1
2080,5,Sword,Torch,1
2080,6,Torch,Cookie,1
2080,7,Cookie,FlowerPot,1
2080,8,FlowerPot,Feather,1
2080,9,Feather,Window,1
2080,10,Window,Potato,1
2080,11,Potato,Mushroom,1
2082,0,START,SpiderWeb,1
2082,1,SpiderWeb,Bottle,1
2082,2,Bottle,SpiderWeb,1
2082,3,SpiderWeb,Gold,1
2082,4,Gold,Anvil,1
2082,5,Anvil,Potato,1
2082,6,Potato,Window,1
2082,7,Window,Feather,1
2082,8,Feather,FlowerPot,1
2082,9,FlowerPot,SpiderWeb,1
2082,10,SpiderWeb,Bottle,1
2082,11,Bottle,Sword,1
2082,12,Sword,FlowerPot,1
2082,13,FlowerPot,Cookie,1
2082,14,Cookie,Feather,1
2082,15,Feather,Feather,1
2082,16,Feather,Window,1
2083,0,START,Anvil,1
2083,1,Anvil,Gold,1
2083,2,Gold,Bottle,1
2083,3,Bottle,SpiderWeb,1
2083,4,SpiderWeb,Sword,1
2083,5,Sword,Torch,1
2083,6,Torch,FlowerPot,1
2083,7,FlowerPot,Feather,1
2083,8,Feather,Window,1
2083,9,Window,Potato,1
2083,10,Potato,Potato,1
2083,11,Potato,Mushroom,1
2083,12,Mushroom,Gold,1
2083,13,Gold,Anvil,1
2083,14,Anvil,Cookie,1
2111,0,START,Cookie,1
2111,1,Cookie,Cookie,1
2111,2,Cookie,FlowerPot,1
2111,3,FlowerPot,Feather,1
2111,4,Feather,Window,1
2111,5,Window,FlowerPot,1
2111,6,FlowerPot,Feather,1
2111,7,Feather,SpiderWeb,1
2111,8,SpiderWeb,Bottle,1
2111,9,Bottle,Gold,1
2111,10,Gold,Anvil,1
2112,0,START,FlowerPot,1
2112,1,FlowerPot,Cookie,1
2112,2,Cookie,Feather,1
2112,3,Feather,Window,1
2112,4,Window,Potato,1
2112,5,Potato,Mushroom,1
2112,6,Mushroom,Anvil,1
2112,7,Anvil,Gold,1
2112,8,Gold,Bottle,1
2112,9,Bottle,SpiderWeb,1
2112,10,SpiderWeb,Sword,1
2112,11,Sword,Torch,1
2114,0,START,FlowerPot,1
2114,1,FlowerPot,Cookie,1
2114,2,Cookie,Feather,1
2114,3,Feather,Torch,1
2114,4,Torch,SpiderWeb,1
2114,5,SpiderWeb,Bottle,1
2114,6,Bottle,Gold,1
2114,7,Gold,Mushroom,1
2114,8,Mushroom,Window,1
2114,9,Window,Cookie,1
2114,10,Cookie,Window,1
2114,11,Window,Potato,1
2114,12,Potato,Anvil,1
2114,13,Anvil,Gold,1
2114,14,Gold,Bottle,1
2114,15,Bottle,SpiderWeb,1
2114,16,SpiderWeb,Sword,1
2135,0,START,Anvil,1
2135,1,Anvil,Gold,1
2135,2,Gold,Bottle,1
2135,3,Bottle,SpiderWeb,1
2135,4,SpiderWeb,Sword,1
2135,5,Sword,Torch,1
2135,6,Torch,Torch,1
2135,7,Torch,FlowerPot,1
2135,8,FlowerPot,Feather,1
2135,9,Feather,Cookie,1
2135,10,Cookie,Window,1
2135,11,Window,Potato,1
2135,12,Potato,Mushroom,1
2137,0,START,FlowerPot,1
2137,1,FlowerPot,Sword,1
2137,2,Sword,Torch,1
2137,3,Torch,SpiderWeb,1
2137,4,SpiderWeb,SpiderWeb,1
2137,5,SpiderWeb,Sword,1
2137,6,Sword,FlowerPot,1
2137,7,FlowerPot,Cookie,1
2137,8,Cookie,Feather,1
2137,9,Feather,Feather,1
2137,10,Feather,Window,1
2137,11,Window,Potato,1
2137,12,Potato,Anvil,1
2137,13,Anvil,Gold,1
2137,14,Gold,Anvil,1
2137,15,Anvil,Bottle,1
2137,16,Bottle,SpiderWeb,1
2137,17,SpiderWeb,Feather,1
2137,18,Feather,Potato,1
2137,19,Potato,Mushroom,1
2138,0,START,Anvil,1
2138,1,Anvil,Gold,1
2138,2,Gold,Mushroom,1
2138,3,Mushroom,Window,1
2138,4,Window,Feather,1
2138,5,Feather,Potato,1
2138,6,Potato,Window,1
2138,7,Window,Feather,1
2138,8,Feather,Cookie,1
2138,9,Cookie,FlowerPot,1
2138,10,FlowerPot,Sword,1
2138,11,Sword,SpiderWeb,1
2138,12,SpiderWeb,Bottle,1
2138,13,Bottle,Sword,1
2138,14,Sword,Torch,1
2139,0,START,FlowerPot,1
2139,1,FlowerPot,Cookie,1
2139,2,Cookie,Feather,1
2139,3,Feather,Window,1
2139,4,Window,Potato,1
2139,5,Potato,Mushroom,1
2139,6,Mushroom,Anvil,1
2139,7,Anvil,Gold,1
2139,8,Gold,Bottle,1
2139,9,Bottle,SpiderWeb,1
2139,10,SpiderWeb,Sword,1
2139,11,Sword,Torch,1
2235,0,START,Anvil,1
2235,1,Anvil,Gold,1
2235,2,Gold,Mushroom,1
2235,3,Mushroom,Sword,1
2235,4,Sword,FlowerPot,1
2235,5,FlowerPot,Torch,1
2235,6,Torch,SpiderWeb,1
2235,7,SpiderWeb,Bottle,1
2235,8,Bottle,Bottle,1
2235,9,Bottle,Anvil,1
2235,10,Anvil,Potato,1
2235,11,Potato,Window,1
2235,12,Window,Feather,1
2235,13,Feather,Cookie,1
2239,0,START,FlowerPot,1
2239,1,FlowerPot,Cookie,1
2239,2,Cookie,Torch,1
2239,3,Torch,Sword,1
2239,4,Sword,SpiderWeb,1
2239,5,SpiderWeb,SpiderWeb,1
2239,6,SpiderWeb,Bottle,1
2239,7,Bottle,Gold,1
2239,8,Gold,Mushroom,1
2239,9,Mushroom,Potato,1
2239,10,Potato,Window,1
2239,11,Window,Feather,1
2239,12,Feather,Anvil,1
2240,0,START,Anvil,1
2240,1,Anvil,FlowerPot,1
2240,2,FlowerPot,Cookie,1
2240,3,Cookie,Torch,1
2240,4,Torch,SpiderWeb,1
2240,5,SpiderWeb,Gold,1
2240,6,Gold,Mushroom,1
2240,7,Mushroom,Window,1
2240,8,Window,Feather,1
2240,9,Feather,FlowerPot,1
2240,10,FlowerPot,Sword,1
2240,11,Sword,SpiderWeb,1
2240,12,SpiderWeb,SpiderWeb,1
2240,13,SpiderWeb,Bottle,1
2241,0,START,FlowerPot,1
2241,1,FlowerPot,Feather,1
2241,2,Feather,Gold,1
2241,3,Gold,Sword,1
2241,4,Sword,FlowerPot,1
2241,5,FlowerPot,Cookie,1
2241,6,Cookie,Feather,1
2241,7,Feather,Anvil,1
2241,8,Anvil,Gold,1
2241,9,Gold,Bottle,1
