df_name,segment_index,start_location,end_location
1118,0,START,FlowerPot
1118,1,FlowerPot,SpiderWeb
1118,2,SpiderWeb,Bottle
1118,3,Bottle,Gold
1118,4,Gold,Mushroom
1118,5,Mushroom,Potato
1118,6,Potato,Window
1118,7,Window,Anvil
1118,8,Anvil,Gold
1118,9,Gold,Bottle
1118,10,Bottle,SpiderWeb
1118,11,SpiderWeb,Sword
1118,12,Sword,Torch
1118,13,Torch,Torch
1118,14,Torch,Cookie
1118,15,Cookie,Window
1118,16,Window,FlowerPot
1118,17,FlowerPot,SpiderWeb
1118,18,SpiderWeb,Sword
1118,19,Sword,Torch
1118,20,Torch,Sword
1118,21,Sword,Feather
2017,0,START,FlowerPot
2017,1,FlowerPot,Cookie
2017,2,Cookie,Torch
2017,3,Torch,Torch
2017,4,Torch,FlowerPot
2017,5,FlowerPot,SpiderWeb
2017,6,SpiderWeb,Bottle
2017,7,Bottle,Gold
2017,8,Gold,Sword
2017,9,Sword,FlowerPot
2017,10,FlowerPot,Feather
2017,11,Feather,Mushroom
2017,12,Mushroom,Gold
2017,13,Gold,Bottle
2017,14,Bottle,SpiderWeb
2017,15,SpiderWeb,Sword
2017,16,Sword,Torch
2020,0,START,FlowerPot
2020,1,FlowerPot,FlowerPot
2020,2,FlowerPot,Sword
2020,3,Sword,FlowerPot
2020,4,FlowerPot,Cookie
2020,5,Cookie,Feather
2020,6,Feather,Window
2020,7,Window,Anvil
2020,8,Anvil,Gold
2020,9,Gold,Bottle
2020,10,Bottle,SpiderWeb
2020,11,SpiderWeb,Sword
2020,12,Sword,Torch
2020,13,Torch,FlowerPot
2020,14,FlowerPot,FlowerPot
2020,15,FlowerPot,Feather
2020,16,Feather,Window
2020,17,Window,Potato
2020,18,Potato,Anvil
2020,19,Anvil,Gold
2020,20,Gold,Bottle
2020,21,Bottle,SpiderWeb
2020,22,SpiderWeb,Sword
2020,23,Sword,FlowerPot
2020,24,FlowerPot,Window
2020,25,Window,Feather
2020,26,Feather,Mushroom
2022,0,START,FlowerPot
2022,1,FlowerPot,Cookie
2022,2,Cookie,Feather
2022,3,Feather,Window
2022,4,Window,Mushroom
2022,5,Mushroom,Gold
2022,6,Gold,Bottle
2022,7,Bottle,SpiderWeb
2022,8,SpiderWeb,Torch
2022,9,Torch,Sword
2022,10,Sword,FlowerPot
2022,11,FlowerPot,Feather
2022,12,Feather,Cookie
2022,13,Cookie,FlowerPot
2022,14,FlowerPot,Torch
2022,15,Torch,Mushroom
2022,16,Mushroom,Feather
2027,0,START,FlowerPot
2027,1,FlowerPot,Cookie
2027,2,Cookie,Feather
2027,3,Feather,Torch
2027,4,Torch,SpiderWeb
2027,5,SpiderWeb,Bottle
2027,6,Bottle,Mushroom
2027,7,Mushroom,Potato
2027,8,Potato,Window
2027,9,Window,Anvil
2027,10,Anvil,Gold
2027,11,Gold,Sword
2032,0,START,FlowerPot
2032,1,FlowerPot,Feather
2032,2,Feather,Cookie
2032,3,Cookie,Torch
2032,4,Torch,Sword
2032,5,Sword,SpiderWeb
2032,6,SpiderWeb,Bottle
2032,7,Bottle,Gold
2032,8,Gold,Anvil
2032,9,Anvil,Mushroom
2032,10,Mushroom,Potato
2032,11,Potato,Window
2041,0,START,FlowerPot
2041,1,FlowerPot,Cookie
2041,2,Cookie,Feather
2041,3,Feather,Window
2041,4,Window,Potato
2041,5,Potato,Mushroom
2041,6,Mushroom,Anvil
2041,7,Anvil,Gold
2041,8,Gold,Bottle
2041,9,Bottle,SpiderWeb
2041,10,SpiderWeb,Torch
2041,11,Torch,Sword
2053,0,START,FlowerPot
2053,1,FlowerPot,Cookie
2053,2,Cookie,FlowerPot
2053,3,FlowerPot,Feather
2053,4,Feather,Feather
2053,5,Feather,Mushroom
2053,6,Mushroom,Gold
2053,7,Gold,Bottle
2053,8,Bottle,SpiderWeb
2053,9,SpiderWeb,Sword
2053,10,Sword,FlowerPot
2059,0,START,FlowerPot
2059,1,FlowerPot,Torch
2059,2,Torch,Sword
2059,3,Sword,SpiderWeb
2059,4,SpiderWeb,Bottle
2059,5,Bottle,Gold
2059,6,Gold,Anvil
2059,7,Anvil,Mushroom
2059,8,Mushroom,Potato
2059,9,Potato,Window
2059,10,Window,Feather
2059,11,Feather,Cookie
2066,0,START,Anvil
2066,1,Anvil,Anvil
2066,2,Anvil,Gold
2066,3,Gold,Sword
2066,4,Sword,FlowerPot
2066,5,FlowerPot,Feather
2066,6,Feather,Window
2066,7,Window,Potato
2066,8,Potato,Mushroom
2066,9,Mushroom,Gold
2066,10,Gold,Bottle
2066,11,Bottle,SpiderWeb
2066,12,SpiderWeb,Torch
2066,13,Torch,Cookie
2070,0,START,FlowerPot
2070,1,FlowerPot,Sword
2070,2,Sword,Torch
2070,3,Torch,Cookie
2070,4,Cookie,Feather
2070,5,Feather,Window
2070,6,Window,Potato
2070,7,Potato,Mushroom
2070,8,Mushroom,Gold
2070,9,Gold,Bottle
2070,10,Bottle,SpiderWeb
2070,11,SpiderWeb,Anvil
2071,0,START,FlowerPot
2071,1,FlowerPot,SpiderWeb
2071,2,SpiderWeb,Anvil
2071,3,Anvil,Window
2071,4,Window,Feather
2071,5,Feather,Cookie
2071,6,Cookie,FlowerPot
2071,7,FlowerPot,SpiderWeb
2071,8,SpiderWeb,Mushroom
2071,9,Mushroom,Potato
2071,10,Potato,Window
2071,11,Window,Feather
2071,12,Feather,FlowerPot
2071,13,FlowerPot,SpiderWeb
2071,14,SpiderWeb,Sword
2071,15,Sword,FlowerPot
2071,16,FlowerPot,Bottle
2071,17,Bottle,Sword
2071,18,Sword,Torch
2071,19,Torch,Torch
2071,20,Torch,Cookie
2071,21,Cookie,Feather
2073,0,START,Anvil
2073,1,Anvil,Gold
2073,2,Gold,Bottle
2073,3,Bottle,SpiderWeb
2073,4,SpiderWeb,Anvil
2073,5,Anvil,Gold
2073,6,Gold,Bottle
2073,7,Bottle,SpiderWeb
2073,8,SpiderWeb,Sword
2073,9,Sword,FlowerPot
2073,10,FlowerPot,Torch
2073,11,Torch,Cookie
2073,12,Cookie,Feather
2073,13,Feather,Window
2073,14,Window,Mushroom
2073,15,Mushroom,Potato
2080,0,START,FlowerPot
2080,1,FlowerPot,Cookie
2080,2,Cookie,Torch
2080,3,Torch,Sword
2080,4,Sword,SpiderWeb
2080,5,SpiderWeb,Bottle
2080,6,Bottle,Gold
2080,7,Gold,Anvil
2080,8,Anvil,Mushroom
2080,9,Mushroom,Potato
2080,10,Potato,Window
2080,11,Window,Feather
2082,0,START,Anvil
2082,1,Anvil,Potato
2082,2,Potato,Mushroom
2082,3,Mushroom,Window
2082,4,Window,FlowerPot
2082,5,FlowerPot,SpiderWeb
2082,6,SpiderWeb,Bottle
2082,7,Bottle,Sword
2082,8,Sword,FlowerPot
2082,9,FlowerPot,Cookie
2082,10,Cookie,Feather
2082,11,Feather,Gold
2082,12,Gold,Anvil
2082,13,Anvil,SpiderWeb
2082,14,SpiderWeb,Bottle
2082,15,Bottle,SpiderWeb
2083,0,START,Anvil
2083,1,Anvil,Gold
2083,2,Gold,Bottle
2083,3,Bottle,SpiderWeb
2083,4,SpiderWeb,Sword
2083,5,Sword,Torch
2083,6,Torch,FlowerPot
2083,7,FlowerPot,Feather
2083,8,Feather,Window
2083,9,Window,Potato
2083,10,Potato,Mushroom
2083,11,Mushroom,Cookie
2111,0,START,Anvil
2111,1,Anvil,Gold
2111,2,Gold,Bottle
2111,3,Bottle,SpiderWeb
2111,4,SpiderWeb,Sword
2111,5,Sword,Torch
2111,6,Torch,FlowerPot
2111,7,FlowerPot,Cookie
2111,8,Cookie,FlowerPot
2111,9,FlowerPot,Feather
2111,10,Feather,Feather
2111,11,Feather,FlowerPot
2111,12,FlowerPot,Feather
2111,13,Feather,Sword
2111,14,Sword,Torch
2112,0,START,Anvil
2112,1,Anvil,Gold
2112,2,Gold,Mushroom
2112,3,Mushroom,Potato
2112,4,Potato,Window
2112,5,Window,Feather
2112,6,Feather,FlowerPot
2112,7,FlowerPot,Sword
2112,8,Sword,SpiderWeb
2112,9,SpiderWeb,Bottle
2112,10,Bottle,Sword
2112,11,Sword,FlowerPot
2112,12,FlowerPot,Cookie
2112,13,Cookie,Feather
2112,14,Feather,Window
2112,15,Window,Mushroom
2112,16,Mushroom,Potato
2112,17,Potato,Anvil
2112,18,Anvil,Gold
2112,19,Gold,Bottle
2112,20,Bottle,SpiderWeb
2112,21,SpiderWeb,Sword
2112,22,Sword,Torch
2114,0,START,FlowerPot
2114,1,FlowerPot,Cookie
2114,2,Cookie,Feather
2114,3,Feather,Torch
2114,4,Torch,SpiderWeb
2114,5,SpiderWeb,Bottle
2114,6,Bottle,Anvil
2114,7,Anvil,Potato
2114,8,Potato,Window
2114,9,Window,Mushroom
2114,10,Mushroom,Gold
2114,11,Gold,Bottle
2114,12,Bottle,SpiderWeb
2114,13,SpiderWeb,Sword
2135,0,START,Anvil
2135,1,Anvil,Gold
2135,2,Gold,Gold
2135,3,Gold,Bottle
2135,4,Bottle,SpiderWeb
2135,5,SpiderWeb,Sword
2135,6,Sword,Torch
2135,7,Torch,FlowerPot
2135,8,FlowerPot,Cookie
2135,9,Cookie,Feather
2135,10,Feather,Window
2135,11,Window,Feather
2135,12,Feather,Potato
2135,13,Potato,Mushroom
2137,0,START,Potato
2137,1,Potato,Mushroom
2137,2,Mushroom,Gold
2137,3,Gold,Bottle
2137,4,Bottle,SpiderWeb
2137,5,SpiderWeb,Sword
2137,6,Sword,Torch
2137,7,Torch,FlowerPot
2137,8,FlowerPot,Cookie
2137,9,Cookie,Feather
2137,10,Feather,Window
2137,11,Window,Potato
2137,12,Potato,Anvil
2138,0,START,Anvil
2138,1,Anvil,Bottle
2138,2,Bottle,Cookie
2138,3,Cookie,Feather
2138,4,Feather,FlowerPot
2138,5,FlowerPot,Gold
2138,6,Gold,Mushroom
2138,7,Mushroom,Potato
2138,8,Potato,Bottle
2138,9,Bottle,SpiderWeb
2138,10,SpiderWeb,Sword
2138,11,Sword,Torch
2138,12,Torch,Window
2139,0,START,FlowerPot
2139,1,FlowerPot,Cookie
2139,2,Cookie,Feather
2139,3,Feather,Window
2139,4,Window,Potato
2139,5,Potato,Mushroom
2139,6,Mushroom,Anvil
2139,7,Anvil,Gold
2139,8,Gold,Bottle
2139,9,Bottle,SpiderWeb
2139,10,SpiderWeb,Sword
2139,11,Sword,Torch
2235,0,START,Anvil
2235,1,Anvil,Gold
2235,2,Gold,Mushroom
2235,3,Mushroom,Potato
2235,4,Potato,Window
2235,5,Window,Feather
2235,6,Feather,Cookie
2235,7,Cookie,FlowerPot
2235,8,FlowerPot,SpiderWeb
2235,9,SpiderWeb,Bottle
2235,10,Bottle,Sword
2235,11,Sword,FlowerPot
2235,12,FlowerPot,Torch
2239,0,START,FlowerPot
2239,1,FlowerPot,Cookie
2239,2,Cookie,Torch
2239,3,Torch,Sword
2239,4,Sword,SpiderWeb
2239,5,SpiderWeb,Bottle
2239,6,Bottle,Gold
2239,7,Gold,Anvil
2239,8,Anvil,Mushroom
2239,9,Mushroom,Potato
2239,10,Potato,Window
2239,11,Window,Feather
2240,0,START,Anvil
2240,1,Anvil,Gold
2240,2,Gold,Bottle
2240,3,Bottle,SpiderWeb
2240,4,SpiderWeb,Torch
2240,5,Torch,Torch
2240,6,Torch,SpiderWeb
2240,7,SpiderWeb,Bottle
2240,8,Bottle,Mushroom
2240,9,Mushroom,Potato
2240,10,Potato,Window
2240,11,Window,Feather
2240,12,Feather,Cookie
2240,13,Cookie,FlowerPot
2240,14,FlowerPot,Sword
2241,0,START,Anvil
2241,1,Anvil,Gold
2241,2,Gold,Bottle
2241,3,Bottle,SpiderWeb
2241,4,SpiderWeb,Sword
2241,5,Sword,FlowerPot
2241,6,FlowerPot,Cookie
2241,7,Cookie,Feather
2241,8,Feather,Mushroom
2241,9,Mushroom,Gold
2241,10,Gold,Bottle
2241,11,Bottle,SpiderWeb
2241,12,SpiderWeb,Sword
2241,13,Sword,FlowerPot
2241,14,FlowerPot,Anvil
2241,15,Anvil,Gold
2241,16,Gold,Bottle
2241,17,Bottle,Sword
2241,18,Sword,FlowerPot
2241,19,FlowerPot,Feather
2241,20,Feather,Potato
2241,21,Potato,Gold
2241,22,Gold,Mushroom
2249,0,START,Anvil
2249,1,Anvil,Gold
2249,2,Gold,Mushroom
2249,3,Mushroom,Potato
2249,4,Potato,Window
2249,5,Window,Feather
2249,6,Feather,FlowerPot
2249,7,FlowerPot,Torch
2249,8,Torch,Sword
2249,9,Sword,SpiderWeb
2249,10,SpiderWeb,Bottle
2249,11,Bottle,Bottle
2249,12,Bottle,Cookie
2250,0,START,Anvil
2250,1,Anvil,Gold
2250,2,Gold,Bottle
2250,3,Bottle,SpiderWeb
2250,4,SpiderWeb,Sword
2250,5,Sword,Torch
2250,6,Torch,Cookie
2250,7,Cookie,FlowerPot
2250,8,FlowerPot,Feather
2250,9,Feather,Window
2250,10,Window,Potato
2250,11,Potato,Mushroom
2302,0,START,Anvil
2302,1,Anvil,Mushroom
2302,2,Mushroom,Gold
2302,3,Gold,Bottle
2302,4,Bottle,SpiderWeb
2302,5,SpiderWeb,Sword
2302,6,Sword,Torch
2302,7,Torch,FlowerPot
2302,8,FlowerPot,Cookie
2302,9,Cookie,FlowerPot
2302,10,FlowerPot,Feather
2302,11,Feather,Window
2302,12,Window,Potato
2305,0,START,FlowerPot
2305,1,FlowerPot,Cookie
2305,2,Cookie,Feather
2305,3,Feather,SpiderWeb
2305,4,SpiderWeb,Sword
2305,5,Sword,Feather
2305,6,Feather,Anvil
2305,7,Anvil,Gold
2305,8,Gold,Bottle
2305,9,Bottle,SpiderWeb
2305,10,SpiderWeb,Mushroom
2305,11,Mushroom,Feather
2305,12,Feather,FlowerPot
2305,13,FlowerPot,Anvil
2305,14,Anvil,SpiderWeb
2311,0,START,Anvil
2311,1,Anvil,Mushroom
2311,2,Mushroom,Gold
2311,3,Gold,Bottle
2311,4,Bottle,SpiderWeb
2311,5,SpiderWeb,Torch
2311,6,Torch,Cookie
2311,7,Cookie,FlowerPot
2311,8,FlowerPot,Feather
2311,9,Feather,Window
2311,10,Window,Potato
2311,11,Potato,Anvil
2311,12,Anvil,Sword
2314,0,START,Anvil
2314,1,Anvil,SpiderWeb
2314,2,SpiderWeb,Bottle
2314,3,Bottle,Gold
2314,4,Gold,Sword
2314,5,Sword,FlowerPot
2314,6,FlowerPot,Cookie
2314,7,Cookie,Feather
2314,8,Feather,Mushroom
2314,9,Mushroom,Mushroom
2314,10,Mushroom,Potato
2314,11,Potato,Window
2314,12,Window,FlowerPot
2314,13,FlowerPot,Torch
2317,0,START,SpiderWeb
2317,1,SpiderWeb,Bottle
2317,2,Bottle,Gold
2317,3,Gold,Mushroom
2317,4,Mushroom,Potato
2317,5,Potato,Window
2317,6,Window,FlowerPot
2317,7,FlowerPot,Sword
2317,8,Sword,Torch
2317,9,Torch,Cookie
2317,10,Cookie,FlowerPot
