df_name,segment_index,start_location,end_location,training
1116,0,START,Boat,1
1116,1,Boat,Record,1
1116,2,Record,Coal,1
1116,3,Coal,Roses,1
1116,4,Roses,Pants,1
1116,5,Pants,Bed,1
1116,6,Bed,String,1
1116,7,String,Steak,1
1116,8,Steak,Shovel,1
1116,9,Shovel,Steak,1
1116,10,Steak,Pants,1
1116,11,Pants,Coal,1
1116,12,Coal,Record,1
1116,13,Record,Saddle,1
1116,14,Saddle,PumpkinPie,1
1116,15,PumpkinPie,Bed,1
1116,16,Bed,Shovel,1
1116,17,Shovel,Boat,1
1116,18,Boat,Boat,1
1116,19,Boat,Saddle,1
1116,20,Saddle,Steak,1
1119,0,START,Record,1
1119,1,Record,Boat,1
1119,2,Boat,Saddle,1
1119,3,Saddle,PumpkinPie,1
1119,4,PumpkinPie,Bed,1
1119,5,Bed,Shovel,1
1119,6,Shovel,Shovel,1
1119,7,Shovel,Steak,1
1119,8,Steak,String,1
1119,9,String,Roses,1
1119,10,Roses,Pants,1
1119,11,Pants,Coal,1
1119,12,Coal,Fish,1
2004,0,START,Record,1
2004,1,Record,Boat,1
2004,2,Boat,Saddle,1
2004,3,Saddle,Bed,1
2004,4,Bed,Shovel,1
2004,5,Shovel,String,1
2004,6,String,Bed,1
2025,0,START,Bed,1
2025,1,Bed,String,1
2025,2,String,Bed,1
2025,3,Bed,Saddle,1
2025,4,Saddle,PumpkinPie,1
2025,5,PumpkinPie,Boat,1
2025,6,Boat,Record,1
2025,7,Record,Fish,1
2025,8,Fish,Pants,1
2025,9,Pants,Roses,1
2025,10,Roses,Bed,1
2025,11,Bed,Shovel,1
2025,12,Shovel,PumpkinPie,1
2025,13,PumpkinPie,Record,1
2025,14,Record,Coal,1
2025,15,Coal,Roses,1
2025,16,Roses,String,1
2025,17,String,Steak,1
2028,0,START,Bed,1
2028,1,Bed,Saddle,1
2028,2,Saddle,Shovel,1
2028,3,Shovel,Steak,1
2028,4,Steak,String,1
2028,5,String,Roses,1
2028,6,Roses,Pants,1
2028,7,Pants,Coal,1
2028,8,Coal,Fish,1
2028,9,Fish,Record,1
2028,10,Record,Boat,1
2028,11,Boat,Saddle,1
2028,12,Saddle,PumpkinPie,1
2033,0,START,Bed,1
2033,1,Bed,Saddle,1
2033,2,Saddle,Boat,1
2033,3,Boat,Record,1
2033,4,Record,Coal,1
2033,5,Coal,Fish,1
2033,6,Fish,Pants,1
2033,7,Pants,Roses,1
2033,8,Roses,Coal,1
2033,9,Coal,Fish,1
2033,10,Fish,Saddle,1
2033,11,Saddle,PumpkinPie,1
2033,12,PumpkinPie,Shovel,1
2033,13,Shovel,Steak,1
2033,14,Steak,String,1
2042,0,START,Record,1
2042,1,Record,Boat,1
2042,2,Boat,Fish,1
2042,3,Fish,Pants,1
2042,4,Pants,Roses,1
2042,5,Roses,Coal,1
2042,6,Coal,Steak,1
2042,7,Steak,Shovel,1
2042,8,Shovel,Saddle,1
2042,9,Saddle,PumpkinPie,1
2042,10,PumpkinPie,Saddle,1
2042,11,Saddle,Bed,1
2042,12,Bed,Saddle,1
2042,13,Saddle,PumpkinPie,1
2042,14,PumpkinPie,Shovel,1
2042,15,Shovel,Steak,1
2042,16,Steak,String,1
2052,0,START,Boat,1
2052,1,Boat,Record,1
2052,2,Record,Pants,1
2052,3,Pants,Coal,1
2052,4,Coal,Roses,1
2052,5,Roses,String,1
2052,6,String,Steak,1
2052,7,Steak,Shovel,1
2052,8,Shovel,PumpkinPie,1
2052,9,PumpkinPie,Saddle,1
2052,10,Saddle,Bed,1
2052,11,Bed,Shovel,1
2052,12,Shovel,String,1
2052,13,String,Boat,1
2052,14,Boat,Saddle,1
2052,15,Saddle,PumpkinPie,1
2052,16,PumpkinPie,Shovel,1
2052,17,Shovel,Fish,1
2060,0,START,Bed,1
2060,1,Bed,String,1
2060,2,String,Steak,1
2060,3,Steak,Shovel,1
2060,4,Shovel,PumpkinPie,1
2060,5,PumpkinPie,Boat,1
2060,6,Boat,Record,1
2060,7,Record,Fish,1
2060,8,Fish,Coal,1
2060,9,Coal,Roses,1
2060,10,Roses,String,1
2060,11,String,Steak,1
2060,12,Steak,Shovel,1
2060,13,Shovel,PumpkinPie,1
2060,14,PumpkinPie,Saddle,1
2060,15,Saddle,Bed,1
2060,16,Bed,Saddle,1
2060,17,Saddle,PumpkinPie,1
2060,18,PumpkinPie,Boat,1
2060,19,Boat,Record,1
2067,0,START,Boat,1
2067,1,Boat,Record,1
2067,2,Record,Pants,1
2067,3,Pants,Roses,1
2067,4,Roses,Coal,1
2067,5,Coal,Coal,1
2067,6,Coal,Fish,1
2067,7,Fish,Saddle,1
2067,8,Saddle,Bed,1
2067,9,Bed,Shovel,1
2067,10,Shovel,Steak,1
2067,11,Steak,Shovel,1
2067,12,Shovel,String,1
2074,0,START,Boat,1
2074,1,Boat,Record,1
2074,2,Record,Pants,1
2074,3,Pants,Coal,1
2074,4,Coal,Roses,1
2074,5,Roses,Pants,1
2074,6,Pants,Bed,1
2074,7,Bed,Shovel,1
2074,8,Shovel,Steak,1
2074,9,Steak,String,1
2074,10,String,Coal,1
2074,11,Coal,Fish,1
2074,12,Fish,Record,1
2074,13,Record,Pants,1
2077,0,START,String,1
2077,1,String,Steak,1
2077,2,Steak,Shovel,1
2077,3,Shovel,Saddle,1
2077,4,Saddle,Bed,1
2077,5,Bed,PumpkinPie,1
2077,6,PumpkinPie,Boat,1
2077,7,Boat,Record,1
2077,8,Record,Fish,1
2077,9,Fish,Pants,1
2077,10,Pants,Roses,1
2077,11,Roses,Roses,1
2077,12,Roses,Coal,1
2079,0,START,Shovel,1
2079,1,Shovel,PumpkinPie,1
2079,2,PumpkinPie,Saddle,1
2079,3,Saddle,Bed,1
2079,4,Bed,String,1
2079,5,String,Steak,1
2079,6,Steak,Shovel,1
2079,7,Shovel,Boat,1
2079,8,Boat,Record,1
2079,9,Record,Fish,1
2079,10,Fish,Coal,1
2079,11,Coal,Pants,1
2079,12,Pants,Roses,1
2086,0,START,Boat,1
2086,1,Boat,Record,1
2086,2,Record,Saddle,1
2086,3,Saddle,PumpkinPie,1
2086,4,PumpkinPie,Bed,1
2086,5,Bed,Shovel,1
2086,6,Shovel,Steak,1
2086,7,Steak,String,1
2086,8,String,Pants,1
2086,9,Pants,Roses,1
2086,10,Roses,Coal,1
2086,11,Coal,Coal,1
2087,0,START,Record,1
2087,1,Record,Boat,1
2087,2,Boat,Saddle,1
2087,3,Saddle,Bed,1
2087,4,Bed,Shovel,1
2087,5,Shovel,Steak,1
2087,6,Steak,Steak,1
2087,7,Steak,String,1
2087,8,String,Roses,1
2087,9,Roses,Pants,1
2087,10,Pants,Coal,1
2087,11,Coal,Pants,1
2087,12,Pants,Fish,1
2087,13,Fish,Record,1
2087,14,Record,Fish,1
2087,15,Fish,Fish,1
2087,16,Fish,Coal,1
2087,17,Coal,Roses,1
2087,18,Roses,Steak,1
2088,0,START,Bed,1
2088,1,Bed,Steak,1
2088,2,Steak,Shovel,1
2088,3,Shovel,PumpkinPie,1
