df_name,segment_index,start_location,end_location
1116,0,START,Boat
1116,1,Boat,Record
1116,2,Record,Fish
1116,3,Fish,Coal
1116,4,Coal,Roses
1116,5,Roses,Pants
1116,6,Pants,String
1116,7,String,Steak
1116,8,Steak,Shovel
1116,9,Shovel,PumpkinPie
1116,10,PumpkinPie,Saddle
1116,11,Saddle,Bed
1119,0,START,Record
1119,1,Record,Boat
1119,2,Boat,Saddle
1119,3,Saddle,PumpkinPie
1119,4,PumpkinPie,Shovel
1119,5,Shovel,Shovel
1119,6,Shovel,Steak
1119,7,Steak,String
1119,8,String,Roses
1119,9,Roses,Pants
1119,10,Pants,Coal
1119,11,Coal,String
1119,12,String,Steak
1119,13,Steak,String
1119,14,String,Coal
1119,15,Coal,Fish
1119,16,Fish,Saddle
1119,17,Saddle,Bed
2025,0,START,Bed
2025,1,Bed,Saddle
2025,2,Saddle,Boat
2025,3,Boat,Record
2025,4,Record,Bed
2025,5,Bed,String
2025,6,String,Steak
2025,7,Steak,Shovel
2025,8,Shovel,Saddle
2025,9,Saddle,String
2025,10,String,Roses
2025,11,Roses,Pants
2025,12,Pants,Fish
2025,13,Fish,Coal
2025,14,Coal,Pants
2025,15,Pants,String
2025,16,String,Saddle
2025,17,Saddle,PumpkinPie
2028,0,START,Record
2028,1,Record,Boat
2028,2,Boat,Saddle
2028,3,Saddle,Bed
2028,4,Bed,Shovel
2028,5,Shovel,Steak
2028,6,Steak,String
2028,7,String,Coal
2028,8,Coal,Fish
2028,9,Fish,Record
2028,10,Record,Boat
2028,11,Boat,Saddle
2028,12,Saddle,Shovel
2028,13,Shovel,Steak
2028,14,Steak,Coal
2028,15,Coal,Fish
2033,0,START,Bed
2033,1,Bed,Saddle
2033,2,Saddle,Boat
2033,3,Boat,Record
2033,4,Record,Fish
2033,5,Fish,Coal
2033,6,Coal,Roses
2033,7,Roses,Pants
2033,8,Pants,Bed
2033,9,Bed,Saddle
2033,10,Saddle,Shovel
2033,11,Shovel,Boat
2033,12,Boat,Record
2033,13,Record,Roses
2033,14,Roses,String
2042,0,START,Fish
2042,1,Fish,Record
2042,2,Record,Boat
2042,3,Boat,Saddle
2042,4,Saddle,Bed
2042,5,Bed,Shovel
2042,6,Shovel,Steak
2042,7,Steak,String
2042,8,String,Roses
2042,9,Roses,Pants
2042,10,Pants,Coal
2042,11,Coal,Pants
2042,12,Pants,Fish
2042,13,Fish,Coal
2042,14,Coal,Roses
2042,15,Roses,Pants
2042,16,Pants,Record
2042,17,Record,Boat
2042,18,Boat,Saddle
2042,19,Saddle,PumpkinPie
2052,0,START,Boat
2052,1,Boat,Record
2052,2,Record,Bed
2052,3,Bed,Saddle
2052,4,Saddle,Shovel
2052,5,Shovel,Steak
2052,6,Steak,String
2052,7,String,Roses
2052,8,Roses,Pants
2052,9,Pants,Fish
2052,10,Fish,Coal
2052,11,Coal,Bed
2052,12,Bed,Saddle
2052,13,Saddle,String
2052,14,String,Record
2052,15,Record,Saddle
2052,16,Saddle,Shovel
2052,17,Shovel,Steak
2052,18,Steak,Saddle
2052,19,Saddle,Bed
2052,20,Bed,PumpkinPie
2060,0,START,Bed
2060,1,Bed,Pants
2060,2,Pants,Fish
2060,3,Fish,Pants
2060,4,Pants,Roses
2060,5,Roses,Coal
2060,6,Coal,Roses
2060,7,Roses,Bed
2060,8,Bed,String
2060,9,String,Steak
2060,10,Steak,Shovel
2060,11,Shovel,PumpkinPie
2060,12,PumpkinPie,Saddle
2060,13,Saddle,Bed
2060,14,Bed,Roses
2060,15,Roses,Pants
2060,16,Pants,Bed
2060,17,Bed,Boat
2060,18,Boat,Record
2067,0,START,Boat
2067,1,Boat,Record
2067,2,Record,Pants
2067,3,Pants,Roses
2067,4,Roses,Coal
2067,5,Coal,Fish
2067,6,Fish,Record
2067,7,Record,Saddle
2067,8,Saddle,PumpkinPie
2067,9,PumpkinPie,Bed
2067,10,Bed,Shovel
2067,11,Shovel,Steak
2067,12,Steak,String
2074,0,START,Bed
2074,1,Bed,Saddle
2074,2,Saddle,PumpkinPie
2074,3,PumpkinPie,Bed
2074,4,Bed,String
2074,5,String,Steak
2074,6,Steak,Shovel
2074,7,Shovel,Record
2074,8,Record,Boat
2074,9,Boat,Roses
2074,10,Roses,Pants
2074,11,Pants,Coal
2074,12,Coal,Fish
2077,0,START,Bed
2077,1,Bed,String
2077,2,String,Steak
2077,3,Steak,Shovel
2077,4,Shovel,Bed
2077,5,Bed,Shovel
2077,6,Shovel,Saddle
2077,7,Saddle,PumpkinPie
2077,8,PumpkinPie,PumpkinPie
2077,9,PumpkinPie,Saddle
2077,10,Saddle,PumpkinPie
2077,11,PumpkinPie,Boat
2077,12,Boat,Record
2077,13,Record,Pants
2077,14,Pants,Coal
2077,15,Coal,Roses
2077,16,Roses,Boat
2077,17,Boat,PumpkinPie
2077,18,PumpkinPie,Saddle
2077,19,Saddle,Bed
2077,20,Bed,Shovel
2077,21,Shovel,Saddle
2079,0,START,Bed
2079,1,Bed,Saddle
2079,2,Saddle,PumpkinPie
2079,3,PumpkinPie,Shovel
2079,4,Shovel,Bed
2079,5,Bed,Boat
2079,6,Boat,Record
2079,7,Record,Fish
2079,8,Fish,Coal
2079,9,Coal,Pants
2079,10,Pants,Roses
2079,11,Roses,Bed
2079,12,Bed,Saddle
2079,13,Saddle,Coal
2079,14,Coal,Roses
2079,15,Roses,Steak
2079,16,Steak,Shovel
2079,17,Shovel,Fish
2079,18,Fish,Saddle
2079,19,Saddle,Steak
2079,20,Steak,String
2086,0,START,Record
2086,1,Record,Boat
2086,2,Boat,Saddle
2086,3,Saddle,PumpkinPie
2086,4,PumpkinPie,Bed
2086,5,Bed,Steak
2086,6,Steak,String
2086,7,String,Shovel
2086,8,Shovel,Roses
2086,9,Roses,Pants
2086,10,Pants,Coal
2086,11,Coal,Coal
2086,12,Coal,Fish
2087,0,START,Bed
2087,1,Bed,Saddle
2087,2,Saddle,PumpkinPie
2087,3,PumpkinPie,Boat
2087,4,Boat,Saddle
2087,5,Saddle,Saddle
2087,6,Saddle,Bed
2087,7,Bed,String
2087,8,String,Pants
2087,9,Pants,Coal
2087,10,Coal,Fish
2087,11,Fish,Record
2087,12,Record,Boat
2087,13,Boat,Pants
2087,14,Pants,Roses
2087,15,Roses,Pants
2087,16,Pants,Fish
2087,17,Fish,Coal
2087,18,Coal,Roses
2087,19,Roses,Steak
2087,20,Steak,Shovel
2088,0,START,Bed
2088,1,Bed,Steak
2088,2,Steak,Shovel
2088,3,Shovel,PumpkinPie
2088,4,PumpkinPie,Saddle
2088,5,Saddle,Boat
2088,6,Boat,Record
2088,7,Record,Fish
2088,8,Fish,Coal
2088,9,Coal,Roses
2088,10,Roses,Pants
2088,11,Pants,String
2089,0,START,Bed
2089,1,Bed,Saddle
2089,2,Saddle,PumpkinPie
2089,3,PumpkinPie,Boat
2089,4,Boat,Record
2089,5,Record,Fish
2089,6,Fish,Coal
2089,7,Coal,Roses
2089,8,Roses,Pants
2089,9,Pants,String
2089,10,String,Steak
2089,11,Steak,Shovel
2091,0,START,Boat
2091,1,Boat,Fish
2091,2,Fish,Coal
2091,3,Coal,Pants
2091,4,Pants,Coal
2091,5,Coal,String
2091,6,String,Bed
2091,7,Bed,Saddle
2091,8,Saddle,PumpkinPie
2091,9,PumpkinPie,Roses
2091,10,Roses,Boat
2091,11,Boat,Record
2091,12,Record,PumpkinPie
2091,13,PumpkinPie,Shovel
2092,0,START,Bed
2092,1,Bed,Saddle
2092,2,Saddle,Boat
2092,3,Boat,Bed
2092,4,Bed,String
2092,5,String,Steak
2092,6,Steak,Shovel
2092,7,Shovel,Saddle
2092,8,Saddle,Fish
2092,9,Fish,Pants
2092,10,Pants,Roses
2092,11,Roses,Coal
2092,12,Coal,Record
2092,13,Record,Boat
2092,14,Boat,Saddle
2092,15,Saddle,PumpkinPie
2093,0,START,Bed
2093,1,Bed,PumpkinPie
2093,2,PumpkinPie,Saddle
2093,3,Saddle,Boat
