df_name,segment_index,start_location,end_location
1116,0,START,Boat
1116,1,Boat,Record
1116,2,Record,Coal
1116,3,Coal,Roses
1116,4,Roses,Pants
1116,5,Pants,Bed
1116,6,Bed,String
1116,7,String,Steak
1116,8,Steak,Shovel
1116,9,Shovel,Steak
1116,10,Steak,Pants
1116,11,Pants,Coal
1116,12,Coal,Record
1116,13,Record,Saddle
1116,14,Saddle,PumpkinPie
1116,15,PumpkinPie,Bed
1116,16,Bed,Shovel
1116,17,Shovel,Boat
1116,18,Boat,Boat
1116,19,Boat,Saddle
1116,20,Saddle,Steak
1119,0,START,Record
1119,1,Record,Boat
1119,2,Boat,Saddle
1119,3,Saddle,PumpkinPie
1119,4,PumpkinPie,Bed
1119,5,Bed,Shovel
1119,6,Shovel,Shovel
1119,7,Shovel,Steak
1119,8,Steak,String
1119,9,String,Roses
1119,10,Roses,Pants
1119,11,Pants,Coal
1119,12,Coal,Fish
2004,0,START,Record
2004,1,Record,Boat
2004,2,Boat,Saddle
2004,3,Saddle,Bed
2004,4,Bed,Shovel
2004,5,Shovel,String
2004,6,String,Bed
2025,0,START,Bed
2025,1,Bed,String
2025,2,String,Bed
2025,3,Bed,Saddle
2025,4,Saddle,PumpkinPie
2025,5,PumpkinPie,Boat
2025,6,Boat,Record
2025,7,Record,Fish
2025,8,Fish,Pants
2025,9,Pants,Roses
2025,10,Roses,Bed
2025,11,Bed,Shovel
2025,12,Shovel,PumpkinPie
2025,13,PumpkinPie,Record
2025,14,Record,Coal
2025,15,Coal,Roses
2025,16,Roses,String
2025,17,String,Steak
2028,0,START,Bed
2028,1,Bed,Saddle
2028,2,Saddle,Shovel
2028,3,Shovel,Steak
2028,4,Steak,String
2028,5,String,Roses
2028,6,Roses,Pants
2028,7,Pants,Coal
2028,8,Coal,Fish
2028,9,Fish,Record
2028,10,Record,Boat
2028,11,Boat,Saddle
2028,12,Saddle,PumpkinPie
2033,0,START,Bed
2033,1,Bed,Saddle
2033,2,Saddle,Boat
2033,3,Boat,Record
2033,4,Record,Coal
2033,5,Coal,Fish
2033,6,Fish,Pants
2033,7,Pants,Roses
2033,8,Roses,Coal
2033,9,Coal,Fish
2033,10,Fish,Saddle
2033,11,Saddle,PumpkinPie
2033,12,PumpkinPie,Shovel
2033,13,Shovel,Steak
2033,14,Steak,String
2042,0,START,Record
2042,1,Record,Boat
2042,2,Boat,Fish
2042,3,Fish,Pants
2042,4,Pants,Roses
2042,5,Roses,Coal
2042,6,Coal,Steak
2042,7,Steak,Shovel
2042,8,Shovel,Saddle
2042,9,Saddle,PumpkinPie
2042,10,PumpkinPie,Saddle
2042,11,Saddle,Bed
2042,12,Bed,Saddle
2042,13,Saddle,PumpkinPie
2042,14,PumpkinPie,Shovel
2042,15,Shovel,Steak
2042,16,Steak,String
2052,0,START,Boat
2052,1,Boat,Record
2052,2,Record,Pants
2052,3,Pants,Coal
2052,4,Coal,Roses
2052,5,Roses,String
2052,6,String,Steak
2052,7,Steak,Shovel
2052,8,Shovel,PumpkinPie
2052,9,PumpkinPie,Saddle
2052,10,Saddle,Bed
2052,11,Bed,Shovel
2052,12,Shovel,String
2052,13,String,Boat
2052,14,Boat,Saddle
2052,15,Saddle,PumpkinPie
2052,16,PumpkinPie,Shovel
2052,17,Shovel,Fish
2060,0,START,Bed
2060,1,Bed,String
2060,2,String,Steak
2060,3,Steak,Shovel
2060,4,Shovel,PumpkinPie
2060,5,PumpkinPie,Boat
2060,6,Boat,Record
2060,7,Record,Fish
2060,8,Fish,Coal
2060,9,Coal,Roses
2060,10,Roses,String
2060,11,String,Steak
2060,12,Steak,Shovel
2060,13,Shovel,PumpkinPie
2060,14,PumpkinPie,Saddle
2060,15,Saddle,Bed
2060,16,Bed,Saddle
2060,17,Saddle,PumpkinPie
2060,18,PumpkinPie,Boat
2060,19,Boat,Record
2067,0,START,Boat
2067,1,Boat,Record
2067,2,Record,Pants
2067,3,Pants,Roses
2067,4,Roses,Coal
2067,5,Coal,Coal
2067,6,Coal,Fish
2067,7,Fish,Saddle
2067,8,Saddle,Bed
2067,9,Bed,Shovel
2067,10,Shovel,Steak
2067,11,Steak,Shovel
2067,12,Shovel,String
2074,0,START,Boat
2074,1,Boat,Record
2074,2,Record,Pants
2074,3,Pants,Coal
2074,4,Coal,Roses
2074,5,Roses,Pants
2074,6,Pants,Bed
2074,7,Bed,Shovel
2074,8,Shovel,Steak
2074,9,Steak,String
2074,10,String,Coal
2074,11,Coal,Fish
2074,12,Fish,Record
2074,13,Record,Pants
2077,0,START,String
2077,1,String,Steak
2077,2,Steak,Shovel
2077,3,Shovel,Saddle
2077,4,Saddle,Bed
2077,5,Bed,PumpkinPie
2077,6,PumpkinPie,Boat
2077,7,Boat,Record
2077,8,Record,Fish
2077,9,Fish,Pants
2077,10,Pants,Roses
2077,11,Roses,Roses
2077,12,Roses,Coal
2079,0,START,Shovel
2079,1,Shovel,PumpkinPie
2079,2,PumpkinPie,Saddle
2079,3,Saddle,Bed
2079,4,Bed,String
2079,5,String,Steak
2079,6,Steak,Shovel
2079,7,Shovel,Boat
2079,8,Boat,Record
2079,9,Record,Fish
2079,10,Fish,Coal
2079,11,Coal,Pants
2079,12,Pants,Roses
2086,0,START,Boat
2086,1,Boat,Record
2086,2,Record,Saddle
2086,3,Saddle,PumpkinPie
2086,4,PumpkinPie,Bed
2086,5,Bed,Shovel
2086,6,Shovel,Steak
2086,7,Steak,String
2086,8,String,Pants
2086,9,Pants,Roses
2086,10,Roses,Coal
2086,11,Coal,Coal
2087,0,START,Record
2087,1,Record,Boat
2087,2,Boat,Saddle
2087,3,Saddle,Bed
2087,4,Bed,Shovel
2087,5,Shovel,Steak
2087,6,Steak,Steak
2087,7,Steak,String
2087,8,String,Roses
2087,9,Roses,Pants
2087,10,Pants,Coal
2087,11,Coal,Pants
2087,12,Pants,Fish
2087,13,Fish,Record
2087,14,Record,Fish
2087,15,Fish,Fish
2087,16,Fish,Coal
2087,17,Coal,Roses
2087,18,Roses,Steak
2088,0,START,Bed
2088,1,Bed,Steak
2088,2,Steak,Shovel
2088,3,Shovel,PumpkinPie
2088,4,PumpkinPie,Saddle
2088,5,Saddle,Boat
2088,6,Boat,Record
2088,7,Record,Fish
2088,8,Fish,Coal
2088,9,Coal,Roses
2089,0,START,Bed
2089,1,Bed,Saddle
2089,2,Saddle,Boat
2089,3,Boat,Record
2089,4,Record,Fish
2089,5,Fish,Coal
2089,6,Coal,Roses
2089,7,Roses,Pants
2089,8,Pants,String
2089,9,String,Steak
2089,10,Steak,Shovel
2089,11,Shovel,PumpkinPie
2091,0,START,Boat
2091,1,Boat,Saddle
2091,2,Saddle,Bed
2091,3,Bed,Saddle
2091,4,Saddle,PumpkinPie
2091,5,PumpkinPie,PumpkinPie
2091,6,PumpkinPie,Boat
2091,7,Boat,Fish
2091,8,Fish,Fish
2091,9,Fish,Coal
2091,10,Coal,Roses
2091,11,Roses,Pants
2091,12,Pants,Record
2091,13,Record,Bed
2092,0,START,Bed
2092,1,Bed,Saddle
2092,2,Saddle,PumpkinPie
2092,3,PumpkinPie,Boat
2092,4,Boat,Saddle
2092,5,Saddle,Record
2092,6,Record,Pants
2092,7,Pants,Roses
2092,8,Roses,Coal
2092,9,Coal,Fish
2092,10,Fish,Coal
2092,11,Coal,Pants
2092,12,Pants,Bed
2093,0,START,Bed
2093,1,Bed,Saddle
2093,2,Saddle,Shovel
2093,3,Shovel,Steak
2093,4,Steak,String
2093,5,String,Roses
2093,6,Roses,Coal
2093,7,Coal,Pants
2093,8,Pants,Fish
2093,9,Fish,Record
2093,10,Record,Boat
2093,11,Boat,Saddle
2093,12,Saddle,PumpkinPie
2094,0,START,Bed
2094,1,Bed,Shovel
2094,2,Shovel,Saddle
2094,3,Saddle,Boat
2094,4,Boat,String
2094,5,String,Steak
2094,6,Steak,Shovel
2094,7,Shovel,Record
2094,8,Record,Roses
2094,9,Roses,Coal
2094,10,Coal,Fish
