df_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1109,6.415940068297953,6.415940068297953,6.415940068297953,6.415940068297953,6.415940068297953,6.415940068297953,6.415940068297953,6.415940068297953,6.415940068297953,6.415940068297953,6.408066052549921,6.373945317641785,6.339824582733649,6.302458912540579,6.257521726682664,6.21258454082475,6.166565709871857,6.112975363254119,6.059385016636383,6.005794670018644,5.928155397712931,5.82245904543791,5.716762693162889,5.611066340887869,5.505369988612848,5.399673636337828,5.266013994983351,5.1137121609092375,4.961410326835124,4.809108492761011,4.655530311075141,4.501384863784048,4.34940270668291,4.203910420151639,4.058418133620367,3.9129258470890957,3.767433560557824,3.6219412740265526,3.476448987495281,3.385434185665165,3.3637436556408367,3.3473257271123504,3.3309077985838638,3.3144898700553775,3.2980719415268904,3.281654012998404,3.2652360844699175,3.2488181559414318,3.200518183998829,3.092237057442589,2.9463116451407494,2.79970921558318,2.650398717002696,2.501088218422213,2.3517777198417296,2.2024672212612466,2.0831783412256875,2.0036299712704806,1.9249946303047762,1.8404945234773171,1.7466107912710507,1.652727059064784,1.5588433268585167,1.4649595946522502,1.3755674913951959,1.290667017087353,1.2057665427795106,1.1208660684716676,1.0359655941638248,0.9702364372050617,0.9164893535894731,0.861829240984382,0.8099497684286415,0.7611206829844126,0.7122915975401839,0.6634625120959551,0.6146334266517262,0.5685124102304117,0.5230684110648264,0.4966137707920171,0.4672081755875195,0.43396044099934244,0.40071270641116524,0.3674649718229881,0.33421723723481045,0.30096950264663314,0.267721768058456,0.23447403347027884,0.21045932517784718,0.21277825799689343,0.2184623912679098,0.22414652453892625,0.22983065780994263,0.23551479108095918,0.24119892435197562,0.24688305762299204,0.26792924196808104,0.2940961100045274,0.30841861380035773,0.2948286528793016,0.2768194338439958,0.2588102148086902,0.23679085392298946,0.20875628026169654,0.16260127692193235,0.1122646359640604,0.06192799500618842,0.01159135404831652,-0.011241974366902685,-0.010501034888419506,-0.00976009540993624,-0.009019155931453074,-0.012974866423066575,-0.016741947075282607,-0.013632389046493882,-0.011442767941828177,-0.009647405518929375,-0.00785204309603072,-0.014594862914572125,-0.0238991374055456,-0.026465662680606072,-0.028583004674605648,-0.030700346668605355,-0.032817688662604975,-0.034935030656604575,-0.0370523726506042,-0.039169714644603816,-0.04128705663860343
1117,5.266073705467469,5.266073705467469,5.266073705467469,5.266073705467469,5.266073705467469,5.266073705467469,5.266073705467469,5.266073705467469,5.266073705467469,5.266073705467469,5.266073705467469,5.266073705467469,5.262575637057903,5.254879886556861,5.247184136055819,5.236391272693884,5.224824131116726,5.210547015786287,5.1919189242598165,5.171260377175198,5.150601830090579,5.12994328300596,5.109284735921341,5.088626188836723,5.026798181738535,4.9608532286389915,4.894908275539448,4.828963322439905,4.748552260950529,4.652516888072905,4.5147999481214685,4.3770830081700325,4.23751567451781,4.092397159763224,3.947278645008639,3.830979696922548,3.765114990506323,3.6810622629934655,3.5897343270419557,3.4994335487036357,3.4092468989890037,3.3169597119950645,3.227359768278911,3.1470123935429055,3.071291303296976,2.9955702130510473,2.9479049492023286,2.8874952408600767,2.7908066728971357,2.701700061910597,2.612593450924057,2.5213877804913714,2.4230106653709043,2.350321027626926,2.2965968680237614,2.256225629443439,2.2130580526693167,2.1699694985724416,2.1284227109459617,2.090818718862411,2.053788643542402,2.034061749814119,2.0172294721065027,2.0003971943988863,1.9234685712262394,1.7864436025885617,1.6494186339508843,1.5123936653132048,1.3734315822716436,1.233873464028887,1.1907817722926524,1.1822325469981625,1.171642767330922,1.160972009452763,1.1515343598294019,1.1435867982090284,1.062716103350472,0.978372878337716,0.8940296533249601,0.8096864283122037,0.7226529145855368,0.6441116598123934,0.6240219428491689,0.6125433332597716,0.6015558977839301,0.5905684623080886,0.5795810268322469,0.5689120174549871,0.5609496299156722,0.5531754932781828,0.5460966777017723,0.5381326841698656,0.5325342072529174,0.5323556778425311,0.5358929701906774,0.5402809872730786,0.5478973508121724,0.5565898298368307,0.5688720558545286,0.5642299006050981,0.5587247867093522,0.5561081679184737,0.5530538348216095,0.5499995017247455,0.5475776304417984,0.5498245156675496,0.5497058842783423,0.5495872528891348,0.5494686214999275,0.5488768867877283,0.5405422956685358,0.5199736533513621,0.4834539048192607,0.45797620505130654,0.4565620042325403,0.44385513121098424,0.3925478680049513,0.31727645811257,0.2417669179128762,0.1740141999359567,0.1045996607902147,0.028872605932471585,-0.006613668182212086,-0.043465819436973835,-0.07055462809191071,-0.09049952752746344,-0.11887732394549443,-0.1495139320552605
2006,23.788906890719407,23.788906890719407,23.788906890719407,23.788906890719407,23.788906890719407,23.771914132159996,23.735314344493574,23.698714556827152,23.665306610332504,23.634735855990538,23.631161117577662,23.629662995774712,23.628164873971766,23.62666675216882,23.60883114218783,23.534009572470723,23.383179435019827,23.236546979660407,23.10021792579826,22.903027684509592,22.492598883043808,22.097374090167854,21.7525464727115,21.429514625788855,21.030783952758426,20.695702632357058,20.39073350298506,20.08738292500355,19.8960309294332,19.75311889764387,19.638510664035497,19.581339796210955,19.51751549854547,19.433730911357163,19.349946324168858,19.26852168991505,19.17224925651847,19.102505215546604,19.002126088346294,18.88455626946514,18.657764277004272,18.3989991621945,18.112357402306625,17.901660379319893,17.6797949801494,17.413467098541762,17.122613166274395,16.800046483921662,16.51284495429937,16.269297640274,15.973220259993541,15.630364956197665,15.340983977329143,15.02554093044426,14.697554133753776,14.427112808656466,14.215022635302432,13.788895016251018,13.353152961680138,12.92214496101106,12.56670786050524,12.279092815311964,11.99674521103712,11.614593314295732,11.274343947140364,10.974659133355471,10.76575372875065,10.57999887636151,10.289665350587988,10.024617963447612,9.758648758737865,9.425498491521845,9.00126653295694,8.583136119827868,8.262378466725671,7.921726969646019,7.428965107275244,6.9137282044650155,6.370269654260406,5.925847746289033,5.498066323342644,5.235588528138015,5.000755969363223,4.863802181827731,4.752833562350317,4.636773764082365,4.5142937139792725,4.482382096669952,4.496308850365134,4.510235604060315,4.525656405192864,4.478984465704149,4.4107973411090695,4.348522922468359,4.234636858714146,3.940735507460337,3.4761702853922825,3.009446229066367,2.597510944528466,2.1878181999798296,1.7706298831514276,1.7100341904656708,1.644432210860476,1.5788302312552818,1.5176956959324757,1.4161683633039213,1.1669347517977127,0.8839033607710605,0.6054024442453412,0.5194707782548451,0.5293437843939048,0.5336719457882805,0.5357410963607483,0.5432356233323652,0.5230143429521534,0.4840612717669524,0.44510820058175204,0.33492607355546977,0.22238813431732085,0.15505420366900868,0.15521257978720288,0.1547470939661491,0.13196933279413348,0.07458131167400696,0.012029013543651924,-0.005314473016604166,-0.0026572365083020475,0.0
2021,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.333175309589427,5.319238301715411,5.244907593053994,5.170576884392577,5.096246175731159,5.030045388329585,4.992880033998876,4.9557146796681675,4.918549325337459,4.889349753387316,4.884047528578869,4.8787453037704225,4.8734430789619765,4.867487199767719,4.8598608704763935,4.852234541185068,4.844608211893743,4.802105747558475,4.682875786126539,4.563645824694602,4.444415863262664,4.3621051931693104,4.350276806540522,4.3384484199117335,4.326620033282946,4.3062467462038185,4.271631958374124,4.237017170544431,4.202402382714736,4.176526148004342,4.163421644776003,4.150317141547663,4.137212638319323,4.1329401440719415,4.139947847757703,4.146955551443465,4.153963255129226,4.143111414413738,4.120592654352057,4.07851667241731,4.051085704382299,3.9977277794249413,3.9170141157013574,3.836300451977773,3.774944944188369,3.7496881829550794,3.7555715600090185,3.7614549370629566,3.767338314116895,3.700723937299279,3.6216429416394598,3.548820315592187,3.4797974139525336,3.336128956574865,3.203719728599294,3.086893626718907,2.9700675248385204,2.9106157705315874,2.8912658600601087,2.8758935679190345,2.8622144315999614,2.8606430858223892,2.8655383322545505,2.870682411110319,2.8221794871387553,2.743591362632141,2.665044710196127,2.5149110634846505,2.305958597478958,2.143773076250658,2.088468721276396,1.890145913837475,1.6634503777103513,1.4281842140122505,1.3340670799689702,1.1887688435634844,1.0560203937180306,0.9008517360041435,0.749719008470756,0.617774199662328,0.5380832236578353,0.4604477403405043,0.4044205744880656,0.3483934086356258,0.30374123191323604,0.26771102000709757,0.23170154413625968,0.20710740266153035,0.20697469203560612,0.18817857564831048,0.10993054415224696,0.03168251265618339,-0.04656551883987874,-0.11803651787021781,-0.16811195834972198,-0.13551023347489616,-0.11109742282948742,-0.0909202574751569,-0.07074309212082602,-0.051692457593598626,-0.04562595802747765,-0.039654844223739764,-0.027349591805329015,-0.013674795902664526,0.0
2024,11.411982480925184,11.401451910004191,11.3909213390832,11.380390768162208,11.369860197241216,11.359329626320225,11.348756661727062,11.338180010727624,11.328261520410749,11.328215440332304,11.315031841000037,11.275728221959255,11.235430614995826,11.195127478422982,11.15481143942817,11.089731266092722,10.95896442304287,10.80894052591975,10.658916628796632,10.453777934197312,10.163195459315736,9.90094643842746,9.673086179010106,9.449677727545728,9.20740007750554,8.908508145796121,8.637429238122893,8.386051788903073,8.134674339683254,7.838013420150109,7.527545358125532,7.227916190070179,6.952293704903378,6.713146878664964,6.492293605907501,6.271440333150039,6.046913008027092,5.820972585840497,5.676184855806944,5.647216013662968,5.59243039825142,5.521673459050995,5.431149495791964,5.333086199359234,5.231253236339656,5.130481509917071,5.011130444193607,4.828946260744001,4.646855095967678,4.470163553212109,4.3015264722648565,4.125095436649766,3.923058365966532,3.7229115921167013,3.5235678019736016,3.327704881256315,3.127181510517698,2.859415417439582,2.590853588503469,2.328775600975268,2.074256146967489,1.8252034085916355,1.6655820620381767,1.5043557505333598,1.3198220080020215,1.1119808344441608,0.9051720318399313,0.8204425715326668,0.7405915126254417,0.6461804859303403,0.5413919316367679,0.4383031309630423,0.40415624710583603,0.37777797187386886,0.37829614964824226,0.3887085081005081,0.4062544606939816,0.3437682426758805,0.2688287928324562,0.20924245090921265,0.1934041250193404,0.20652863450147482,0.19601476812225474,0.17996826135593158,0.1645730479949319,0.14881487587924397,0.12270698922880875,0.07029348353750256,0.011136138604963227,-0.06639144062321756,-0.13551710245802842,-0.2095697587272503,-0.27181349172144126,-0.28708585791915536,-0.2778562155836296,-0.2803046820541806,-0.2755622076184458,-0.2677638711976709,-0.26033103504012467,-0.2545351996776215,-0.23994246391597895,-0.22534972815433654,-0.2152262519857858,-0.21211129800713988,-0.20241439916968418,-0.19258333825516452,-0.1877442736758688,-0.18457343733525816,-0.19475500819293282,-0.2049521946468309,-0.21636851740519655,-0.22778484016356249,-0.2416177175201374,-0.24875718969079458,-0.2527187517981441,-0.2602491139972365,-0.26313508749877446,-0.2661956317140548,-0.2649587443436631,-0.26327596187237584,-0.25385968300248474,-0.24009897735320967,-0.22530553339399453,-0.20802676263515704,-0.19073457115234838,-0.17595320939067155,-0.16117184762899447,-0.14639048586731762
2043,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.07299731269807,11.067620926505986,11.06077825317061,11.046099571678614,10.972650829011966,10.896029982858254,10.809892826243352,10.629368212546666,10.296371552794804,9.963374893042937,9.627898028080685,9.341334087941167,9.081991060659957,8.810718899520475,8.530059786749948,8.195353866766414,7.855417610600973,7.515481354435534,7.173195901553977,6.827395012114075,6.485731612368722,6.150803149983186,5.802101185388336,5.413639497186678,5.023753944777852,4.628305646166281,4.4102363527126345,4.266074978074785,4.1220549213333815,3.9662613030513567,3.866497902183013,3.7701736743479626,3.681917555381284,3.6040337916367866,3.544287070432838,3.4649490490426813,3.385611027652524,3.2970483843854885,3.1992611192415716,3.101473854097656,3.0153215836084555,2.9005344429513378,2.7739970953386908,2.645263595040877,2.5104532377468165,2.353982374957557,2.1858322965828796,2.0133335599664135,1.8034553634090003,1.5038664629933254,1.2254470404002247,0.9627844393202162,0.78737458981822,0.6490638026645784,0.4937679865718406,0.34253460503306343,0.281532960623474,0.232033564597029,0.18100442253382437,0.12456661349243082,0.043853997102770735,-0.023293566805626536,-0.06496483928775391,-0.09319938555174964,-0.10966943689012555,-0.12110941088411432,-0.1268393878966693,-0.14424976286233734,-0.1630914780043568,-0.18717154444089595,-0.21299772797560848,-0.25240144636997724,-0.29068421262106,-0.3252433928233275,-0.3616625466518316,-0.3839553284204361,-0.39381878691564437,-0.3770221779788849,-0.35552678421866307,-0.33643187741543235,-0.32024785136633266,-0.30695212074729605,-0.28505920068775426,-0.2584548604320401,-0.23072208426328317,-0.1995543644494262,-0.16963460384749665,-0.14292197985690183,-0.11620935586630703,-0.08941920161616716,-0.07906469595676106,-0.06836161154757485,-0.05955844163359788,-0.06998471118747228,-0.09569485782552166,-0.11332803472866651,-0.12355732270814875,-0.1097841323421153,-0.08737004977169698,-0.06495596720127839,-0.042541884630860054
2046,8.434874382399208,8.430249701099997,8.425625019800787,8.421000338501576,8.416375657202364,8.411750975903153,8.402079766329068,8.37525036062041,8.348420954911747,8.321591549203088,8.295619082875577,8.26514421222741,8.198164947097494,8.09676543890629,7.988417568603717,7.880069698301142,7.771721827998568,7.663373957695995,7.566268994462018,7.461985070689658,7.354904157470949,7.246976188607231,7.139419403817433,7.031936855842417,6.9231828827878985,6.814301767225425,6.715486834984523,6.623382691624666,6.531278548264811,6.443589726259642,6.384953677711088,6.32680166095968,6.262784208890256,6.181170450866776,6.099556692843293,6.0231700970445194,5.9559310351389945,5.899046681986573,5.8463042123353945,5.789239033752459,5.724752386371114,5.619788806870409,5.487203187891264,5.39399849589498,5.320484267390128,5.246970038885275,5.173455810380422,5.127764463003138,5.088255978098646,5.049778273437532,5.016969860115002,4.985006113936351,4.950517645031774,4.790649647360632,4.615290223890921,4.439930800421211,4.264571376951498,4.0892119534817875,3.945105949106706,3.8944246088563816,3.8432795292422353,3.7921344496280893,3.7409893700139425,3.6898442903997974,3.642114614098603,3.5978003411103603,3.5534860681221185,3.509171795133877,3.464857522145634,3.4220633332213195,3.3405233786546216,3.2546915565896413,3.1688597345246605,3.0847888287087857,2.9977559171224333,2.8709685164163607,2.641807377810327,2.4042210013814564,2.165710411287044,1.9232986819826836,1.6801776546401532,1.4676711972961618,1.3554660521104587,1.2436221179465863,1.132219663920508,1.035268432261373,0.9672196453361276,0.8750244182676052,0.7479449675798384,0.621319425146075,0.49943054552560784,0.37636772173906935,0.25037003753735676,0.2304396691918963,0.27290004307401966,0.31780908220344384,0.3537851238287273,0.3867834996192972,0.4117194947724243,0.3819276657760533,0.34635886819306344,0.3019385215391655,0.2560152238066971,0.21257940074435996,0.16869987095701788,0.12038327391963187,0.07068317269849983,0.014475198132130303,-0.020112226584485023,-0.040755361778507186,-0.056727098532172754,-0.06268869577078746,-0.06865029300940227,-0.07461189024801741,-0.0791359351454179,-0.0888800319056823,-0.09935946015915453,-0.09867149597796003,-0.09155960019136328,-0.08445675285653398,-0.07735390552170476,-0.07115915893146665,-0.06715811859248229,-0.06440211778463763,-0.06164611697679301,-0.05889011616894839,-0.05613411536110378,-0.05337811455325916
2049,20.20894685323986,20.20894685323986,20.20894685323986,20.20894685323986,20.20894685323986,20.20894685323986,20.20894685323986,20.207582039398076,20.157096686062804,20.065577161317496,19.974057636572187,19.880265908495954,19.783293095756417,19.68456343095844,19.585728266359816,19.450791600469934,19.388976161162706,19.279863587250595,19.09721697156238,18.913556354007678,18.670032394007656,18.30486747228945,17.883534194439097,17.44533781732772,16.996729262709746,16.574585363301054,16.213157447659906,15.839385571501209,15.448503996518982,15.06103700247943,14.661663850424759,14.315281259846747,13.983956232210053,13.688625250212077,13.50830268950715,13.377871103968793,13.25074751777705,13.096774083920106,12.808174487996418,12.490479214048774,12.170835157247808,11.827465132624155,11.387700688704552,10.992154363124852,10.618717096715109,10.248356305503604,10.072981148131227,9.915553642409519,9.776296942260187,9.624060500971124,9.466911916696672,9.303437169719817,9.11181259970168,8.941524911170317,8.740638257716911,8.513829540181359,8.28251674617437,8.002957031536326,7.681014627737406,7.365511131108987,7.044942832451617,6.744544587416088,6.4618580428560355,6.169344090280304,5.9443714285799745,5.786940057755047,5.6295086869301185,5.481044754748528,5.373415835192251,5.257032321175874,5.147270636770108,5.08560737982547,5.043732175416668,5.006520959492423,4.950656760938298,4.824762052134894,4.676763322665526,4.503660318134774,4.280582358182351,3.9897183492276236,3.698015549333805,3.428665242110588,3.1656344457024943,2.9047646196430588,2.6215642360802613,2.393957856134536,2.2775394834229536,2.1654195885499754,2.0569663867056103,1.943749932447121,1.8041186789260757,1.6549755263384862,1.5098882190130793,1.3843105364107555,1.254294352745736,1.0938407242031756,0.9368749317009268,0.7963840676011684,0.7179818789154825,0.643793385996919,0.5775103365928045,0.5320873719857834,0.5338808179418939,0.5822595637883231,0.5751151598934675,0.5660046979660409,0.5445802423936207,0.4746357528861553,0.3869190923216792,0.3039451615839754,0.2371268244189318,0.17774429660661578,0.12099351145452063,0.06409646186192271,0.026177798427759073,-0.0009877991821524925,-0.08049660355957079,-0.16269998737200303,-0.24682807078087268,-0.3307851053301214,-0.4068777594749297,-0.3996507946097609,-0.3386434787149169,-0.27763616282007286,-0.21662884692522877,-0.1556215310303849,-0.09461421513554082,-0.03360689924069696
2055,9.941750574121851,9.926002542625788,9.910254511129725,9.894506479633662,9.8787584481376,9.863010416641536,9.847262385145472,9.83151435364941,9.818225794131113,9.807123431926389,9.796021069721665,9.78491870751694,9.773816345312216,9.762713983107492,9.751611620902766,9.740127501605699,9.722535268831106,9.704943036056516,9.687350803281923,9.669758570507334,9.652166337732739,9.596306388422716,9.538300938592203,9.457383820627829,9.34544253182585,9.23200236948172,9.113768321079231,9.002968269897677,8.896543068932399,8.751742886002724,8.609926239979023,8.50716008029159,8.407993200187118,8.308118832291473,8.21130974954199,8.116233373100227,8.030323781068683,7.942204658476148,7.85907197919791,7.787033800330144,7.668668170042298,7.5378625487323765,7.406192673275272,7.271760272490062,7.136394836155125,7.04891667320663,6.975440886216429,6.886284784051632,6.797911923972292,6.7057126369243045,6.55911922896886,6.3699232586289165,6.181692675619896,6.0142703709526355,5.881134980161372,5.728488228995949,5.564253348934805,5.40289016873471,5.236359395676575,5.097930419153251,5.003767487313142,4.869848913803785,4.7169060295918355,4.563963145379887,4.39884469044499,4.221550664787145,4.0442566391293004,3.902217334786031,3.808702311898398,3.711103958713726,3.609673953070713,3.5256351811070386,3.4651743143200058,3.4041020509361886,3.3322146222056173,3.16629068566273,2.9806011861858224,2.781910696700236,2.6187453108035523,2.5135611493207572,2.407107583948079,2.3311533186829467,2.243466515365238,2.1821768755047017,2.1269260186042547,2.0664444512486972,1.9955014629829202,1.9225584985060076,1.8380203382766869,1.7544728697349428,1.6822683795777964,1.609417013436935,1.5274645673586233,1.460397829296598,1.4082566698656114,1.3630135150084088,1.2711857438338607,1.1640641630434208,1.0637261537024187,0.961914359590271,0.8856246668928281,0.8122387114760007,0.741214543921088,0.6925720653978192,0.6401438764368219,0.5868009008005824,0.507229016777571,0.36507629633014077,0.2602069229929139,0.18015655981927334,0.10037411140099402,0.03161098931864377,-0.027851621546704553,-0.08842174642309097,-0.08611257635854672,-0.10166414776334701,-0.12858969430142694,-0.15046024116954132,-0.1619964367628681,-0.16019335049738037,-0.145669835528193,-0.13133771319991933,-0.10954574550797634,-0.09057433591064956,-0.076134123174527,-0.06306345392265823,-0.04999278467078939,-0.036922115418920626
2081,7.062802235705796,7.062802235705796,7.062802235705796,7.062802235705796,7.062802235705796,7.062802235705796,7.062802235705796,7.062802235705796,7.062147010544379,7.051663407961707,7.041179805379035,7.030696202796362,7.01562063480621,6.956156067877076,6.888903656264103,6.81710833525222,6.749029549673412,6.696792213267832,6.631328288346511,6.565864363425189,6.505046107795207,6.460791569617477,6.416063537177472,6.383677380711888,6.344678796321934,6.27193288496867,6.199186973615408,6.121283581947184,6.032816329750653,5.926171057212962,5.813774389470548,5.701377721728134,5.583078173979301,5.447069986211205,5.27148980633085,5.084723827633655,4.875831016045376,4.698034787568773,4.520238559092168,4.354236701416331,4.215012070211846,4.113200721828425,4.014556834410504,3.9703131924686206,3.952784045113181,3.934825583712957,3.9169719211010645,3.902044029160463,3.8963248854927612,3.8876675889176666,3.8764575234671454,3.8561684232777154,3.8382038603729476,3.8236366981149907,3.815625761739862,3.8135154286592807,3.817152115846042,3.7885063709534306,3.734663775667117,3.680821180380802,3.62697858509449,3.563737243457782,3.4935327871616293,3.423328330865477,3.3574807765712875,3.2959901242790615,3.2344994719868345,3.165696321307439,3.097845602777066,3.0203098448766146,2.9494622862984254,2.9179450083625893,2.7929008304095486,2.60027831475145,2.4072526106134764,2.2137789192756423,2.126871375092716,2.10905885699101,2.0984601064017285,2.0922688900841857,1.9861992854175352,1.8096619510896912,1.6303137643213865,1.4181004286510492,1.2581245687121572,1.154847819003069,1.0448825901286227,0.9347405460413117,0.8230955726446613,0.7409211351808159,0.723981521112219,0.7070419070436222,0.6900410674810725,0.6728810416342459,0.6614795496135394,0.6476933720740841,0.6851939385523651,0.7397900863698919,0.7943862341874187,0.8501652206678241,0.9248174883208901,1.000382446078174,1.0453217157228722,1.0478096858686898,1.0443379659706955,1.0385617991273997,1.0220468890301673,0.7316948818942781,0.5238206139117587,0.4430008536097625,0.41503172540130306,0.40024546474526856,0.38396093267795683,0.35964125036350925,0.32533665274178825,0.2817799970825692,0.2730440501185695,0.2608789333820484,0.2131037706416028,0.13885031850942706,0.024381236034400632,0.005050024392988036,-0.005659001914449321,-0.01276428983409332,-0.009713587751774038,-0.006335273088746185,-0.0029569584257183325,0.00042135623730952
