df_name,segment_index,start_location,end_location
1107,0,START,Helmet
1107,1,Helmet,FishingRod
1107,2,FishingRod,Ladder
1107,3,Ladder,FishingRod
1107,4,FishingRod,Paper
1107,5,Paper,Axe
1107,6,Axe,Wheat
1107,7,Wheat,Paper
1107,8,Paper,Bucket
1107,9,Bucket,Cactus
1107,10,Cactus,Axe
1107,11,Axe,Paper
1107,12,Paper,Ladder
1107,13,Ladder,Paper
1107,14,Paper,Pumpkin
1107,15,Pumpkin,Emerald
1107,16,Emerald,Watermelon
1107,17,Watermelon,Carrot
1120,0,START,Helmet
1120,1,Helmet,Ladder
1120,2,Ladder,FishingRod
1120,3,FishingRod,Paper
1120,4,Paper,Carrot
1120,5,Carrot,Watermelon
1120,6,Watermelon,Emerald
1120,7,Emerald,Paper
1120,8,Paper,Axe
1120,9,Axe,Wheat
1120,10,Wheat,Wheat
1120,11,Wheat,Pumpkin
1120,12,Pumpkin,Cactus
1120,13,Cactus,Bucket
2014,0,START,Cactus
2014,1,Cactus,Bucket
2014,2,Bucket,Pumpkin
2014,3,Pumpkin,Emerald
2014,4,Emerald,Watermelon
2014,5,Watermelon,Carrot
2014,6,Carrot,Helmet
2014,7,Helmet,FishingRod
2014,8,FishingRod,Ladder
2014,9,Ladder,Paper
2014,10,Paper,Axe
2014,11,Axe,Wheat
2019,0,START,Helmet
2019,1,Helmet,FishingRod
2019,2,FishingRod,Paper
2019,3,Paper,Axe
2019,4,Axe,Paper
2019,5,Paper,Ladder
2019,6,Ladder,Helmet
2019,7,Helmet,Carrot
2019,8,Carrot,Watermelon
2019,9,Watermelon,Watermelon
2019,10,Watermelon,Emerald
2019,11,Emerald,Cactus
2019,12,Cactus,Pumpkin
2019,13,Pumpkin,Bucket
2019,14,Bucket,Axe
2019,15,Axe,Ladder
2019,16,Ladder,Helmet
2035,0,START,Helmet
2035,1,Helmet,FishingRod
2035,2,FishingRod,Ladder
2035,3,Ladder,Paper
2035,4,Paper,Emerald
2035,5,Emerald,Cactus
2035,6,Cactus,Pumpkin
2035,7,Pumpkin,Bucket
2035,8,Bucket,Pumpkin
2035,9,Pumpkin,Wheat
2035,10,Wheat,Axe
2035,11,Axe,Paper
2037,0,START,Helmet
2037,1,Helmet,Ladder
2037,2,Ladder,Carrot
2037,3,Carrot,Watermelon
2037,4,Watermelon,Emerald
2037,5,Emerald,Pumpkin
2037,6,Pumpkin,Wheat
2037,7,Wheat,Axe
2037,8,Axe,Paper
2037,9,Paper,Ladder
2037,10,Ladder,Bucket
2037,11,Bucket,Cactus
2037,12,Cactus,Emerald
2037,13,Emerald,Watermelon
2037,14,Watermelon,Helmet
2037,15,Helmet,Ladder
2037,16,Ladder,Axe
2051,0,START,Helmet
2051,1,Helmet,Carrot
2051,2,Carrot,Watermelon
2051,3,Watermelon,Emerald
2051,4,Emerald,Pumpkin
2051,5,Pumpkin,Bucket
2051,6,Bucket,Cactus
2051,7,Cactus,Pumpkin
